,beta0,beta1,value
0,0.0,0.0,0.9983237477507573
1,0.0,0.01,0.9894237477507574
2,0.0,0.02,0.9795237477507573
3,0.0,0.03,0.9697237477507573
4,0.0,0.04,0.9601237477507574
5,0.0,0.05,0.9480237477507574
6,0.0,0.06,0.9391237477507574
7,0.0,0.07,0.9311237477507573
8,0.0,0.08,0.9191237477507573
9,0.0,0.09,0.9091237477507573
10,0.0,0.1,0.8965237477507573
11,0.0,0.11,0.8870237477507573
12,0.0,0.12,0.8776237477507574
13,0.0,0.13,0.8683237477507573
14,0.0,0.14,0.8590237477507573
15,0.0,0.15,0.8492237477507574
16,0.0,0.16,0.8402237477507574
17,0.0,0.17,0.8319237477507573
18,0.0,0.18,0.8206237477507573
19,0.0,0.19,0.8101237477507574
20,0.0,0.2,0.7990237477507574
21,0.0,0.21,0.7892237477507573
22,0.0,0.22,0.7787237477507574
23,0.0,0.23,0.7679237477507573
24,0.0,0.24,0.7588237477507573
25,0.0,0.25,0.7489237477507573
26,0.0,0.26,0.7391237477507572
27,0.0,0.27,0.7264237477507572
28,0.0,0.28,0.7170237477507573
29,0.0,0.29,0.7086237477507572
30,0.0,0.3,0.6988237477507573
31,0.0,0.31,0.6900237477507574
32,0.0,0.32,0.6789237477507574
33,0.0,0.33,0.6693237477507573
34,0.0,0.34,0.6595237477507573
35,0.0,0.35000000000000003,0.6501237477507573
36,0.0,0.36,0.6402237477507573
37,0.0,0.37,0.6286237477507574
38,0.0,0.38,0.6199237477507573
39,0.0,0.39,0.6082237477507573
40,0.0,0.4,0.5963237477507574
41,0.0,0.41000000000000003,0.5855237477507573
42,0.0,0.42,0.5743237477507573
43,0.0,0.43,0.5633237477507573
44,0.0,0.44,0.5541237477507573
45,0.0,0.45,0.5445237477507573
46,0.0,0.46,0.5353237477507573
47,0.0,0.47000000000000003,0.5262237477507573
48,0.0,0.48,0.5169237477507572
49,0.0,0.49,0.5073237477507573
50,0.0,0.5,0.49702374775075725
51,0.0,0.51,0.48562374775075723
52,0.0,0.52,0.4767237477507572
53,0.0,0.53,0.46632374775075724
54,0.0,0.54,0.4552237477507573
55,0.0,0.55,0.44482374775075734
56,0.0,0.56,0.43372374775075734
57,0.0,0.5700000000000001,0.42412374775075734
58,0.0,0.58,0.4144237477507573
59,0.0,0.59,0.40322374775075737
60,0.0,0.6,0.3919237477507574
61,0.0,0.61,0.3840237477507573
62,0.0,0.62,0.3741237477507573
63,0.0,0.63,0.3638237477507573
