,theta1,theta2,gp_mean,gp_sd
0,0.0,0.0,[[-0.23773465]],[0.04126115]
1,0.0,1.0,[[-0.25879962]],[0.03964534]
2,0.0,2.0,[[-0.27950979]],[0.03844545]
3,0.0,3.0,[[-0.29963191]],[0.03756039]
4,0.0,4.0,[[-0.31892985]],[0.0368789]
5,0.0,5.0,[[-0.3371739]],[0.0363025]
6,0.0,6.0,[[-0.35415203]],[0.03576245]
7,0.0,7.0,[[-0.36968235]],[0.03522664]
8,0.0,8.0,[[-0.38362542]],[0.03469631]
9,0.0,9.0,[[-0.39589439]],[0.03419405]
10,0.0,10.0,[[-0.40646172]],[0.03374621]
11,0.0,11.0,[[-0.41536064]],[0.03336502]
12,0.0,12.0,[[-0.42268053]],[0.03303722]
13,0.0,13.0,[[-0.42855633]],[0.03272446]
14,0.0,14.0,[[-0.43315378]],[0.03237456]
15,0.0,15.0,[[-0.43665395]],[0.03193761]
16,0.0,16.0,[[-0.4392398]],[0.03137984]
17,0.0,17.0,[[-0.44108638]],[0.03069052]
18,0.0,18.0,[[-0.44235446]],[0.02988062]
19,0.0,19.0,[[-0.44318687]],[0.0289738]
20,0.0,20.0,[[-0.4437068]],[0.02799351]
21,0.0,21.0,[[-0.44401778]],[0.02695255]
22,0.0,22.0,[[-0.44420577]],[0.02585177]
23,0.0,23.0,[[-0.44434281]],[0.02468886]
24,0.0,24.0,[[-0.44449005]],[0.0234689]
25,0.0,25.0,[[-0.44469785]],[0.0222046]
26,0.0,26.0,[[-0.44500197]],[0.02090225]
27,0.0,27.0,[[-0.44541863]],[0.01954672]
28,0.0,28.0,[[-0.44594248]],[0.01810957]
29,0.0,29.0,[[-0.44654854]],[0.01659321]
30,0.0,30.0,[[-0.44719658]],[0.01510596]
31,0.0,31.0,[[-0.44783752]],[0.01394761]
32,0.0,32.0,[[-0.44842114]],[0.01359933]
33,0.0,33.0,[[-0.44887671]],[0.01432106]
34,0.0,34.0,[[-0.44911741]],[0.01583412]
35,0.0,35.0,[[-0.44910794]],[0.01770872]
36,0.0,36.0,[[-0.44885889]],[0.01960463]
37,0.0,37.0,[[-0.44839788]],[0.02129614]
38,0.0,38.0,[[-0.44775538]],[0.0226425]
39,0.0,39.0,[[-0.44696245]],[0.02355968]
40,0.0,40.0,[[-0.44605336]],[0.02400337]
41,0.0,41.0,[[-0.44506908]],[0.02396077]
42,0.0,42.0,[[-0.44405949]],[0.02344724]
43,0.0,43.0,[[-0.44308305]],[0.02250528]
44,0.0,44.0,[[-0.44220299]],[0.02120453]
45,0.0,45.0,[[-0.44147924]],[0.01964273]
46,0.0,46.0,[[-0.44095633]],[0.01794938]
47,0.0,47.0,[[-0.4406498]],[0.01629371]
48,0.0,48.0,[[-0.44053687]],[0.01488351]
49,0.0,49.0,[[-0.44056085]],[0.01389345]
50,0.0,50.0,[[-0.44065522]],[0.01330978]
51,0.0,51.0,[[-0.44076695]],[0.01298422]
52,0.0,52.0,[[-0.44086205]],[0.01287096]
53,0.0,53.0,[[-0.44092019]],[0.01308445]
54,0.0,54.0,[[-0.44093426]],[0.01363288]
55,0.0,55.0,[[-0.44090637]],[0.01426232]
56,0.0,56.0,[[-0.44082769]],[0.01475119]
57,0.0,57.0,[[-0.44067471]],[0.01505009]
58,0.0,58.0,[[-0.44041419]],[0.01528644]
59,0.0,59.0,[[-0.44001219]],[0.01570843]
60,0.0,60.0,[[-0.43945043]],[0.01652334]
61,0.0,61.0,[[-0.43874188]],[0.01771138]
62,0.0,62.0,[[-0.43792402]],[0.01906384]
63,0.0,63.0,[[-0.43704172]],[0.02035294]
64,0.0,64.0,[[-0.4361392]],[0.02141821]
65,0.0,65.0,[[-0.43525835]],[0.02217669]
66,0.0,66.0,[[-0.43443808]],[0.02260947]
67,0.0,67.0,[[-0.43371239]],[0.02274375]
68,0.0,68.0,[[-0.4331069]],[0.02263271]
69,0.0,69.0,[[-0.4326352]],[0.02233326]
70,0.0,70.0,[[-0.43229644]],[0.02188592]
71,0.0,71.0,[[-0.43207563]],[0.02130679]
72,0.0,72.0,[[-0.43194656]],[0.02059739]
73,0.0,73.0,[[-0.43187617]],[0.01976656]
74,0.0,74.0,[[-0.4318286]],[0.01885473]
75,0.0,75.0,[[-0.43176811]],[0.01795418]
76,0.0,76.0,[[-0.43166163]],[0.01721751]
77,0.0,77.0,[[-0.43148365]],[0.01682931]
78,0.0,78.0,[[-0.43122744]],[0.01690045]
79,0.0,79.0,[[-0.43091679]],[0.01734326]
80,0.0,80.0,[[-0.43060026]],[0.01791884]
81,0.0,81.0,[[-0.43033332]],[0.01839452]
82,0.0,82.0,[[-0.4301641]],[0.01862392]
83,0.0,83.0,[[-0.4301239]],[0.01855085]
84,0.0,84.0,[[-0.43022113]],[0.01819136]
85,0.0,85.0,[[-0.43043993]],[0.01761758]
86,0.0,86.0,[[-0.43074349]],[0.01695294]
87,0.0,87.0,[[-0.43108101]],[0.01637977]
88,0.0,88.0,[[-0.43139903]],[0.0161161]
89,0.0,89.0,[[-0.43166132]],[0.01628008]
90,0.0,90.0,[[-0.43186501]],[0.01674669]
91,0.0,91.0,[[-0.43203041]],[0.0172402]
92,0.0,92.0,[[-0.43218204]],[0.01751217]
93,0.0,93.0,[[-0.432338]],[0.01741353]
94,0.0,94.0,[[-0.43250454]],[0.01689315]
95,0.0,95.0,[[-0.43267248]],[0.01597876]
96,0.0,96.0,[[-0.43281519]],[0.01477646]
97,0.0,97.0,[[-0.43288907]],[0.01353599]
98,0.0,98.0,[[-0.43283651]],[0.01280966]
99,0.0,99.0,[[-0.43259283]],[0.01348346]
100,0.0,100.0,[[-0.43212329]],[0.01593434]
101,0.01,0.0,[[-0.23837203]],[0.03968024]
102,0.01,1.0,[[-0.25970166]],[0.03807355]
103,0.01,2.0,[[-0.28068308]],[0.03690249]
104,0.01,3.0,[[-0.30107502]],[0.03605735]
105,0.01,4.0,[[-0.32063235]],[0.03541681]
106,0.01,5.0,[[-0.33911565]],[0.03487418]
107,0.01,6.0,[[-0.35630321]],[0.03435633]
108,0.01,7.0,[[-0.3720045]],[0.03383133]
109,0.01,8.0,[[-0.38607347]],[0.03330454]
110,0.01,9.0,[[-0.3984196]],[0.03280515]
111,0.01,10.0,[[-0.40901516]],[0.03236632]
112,0.01,11.0,[[-0.41789692]],[0.03200444]
113,0.01,12.0,[[-0.42516116]],[0.03170606]
114,0.01,13.0,[[-0.43095193]],[0.03142846]
115,0.01,14.0,[[-0.43544475]],[0.0311131]
116,0.01,15.0,[[-0.43882973]],[0.03070452]
117,0.01,16.0,[[-0.44129721]],[0.03016603]
118,0.01,17.0,[[-0.44302762]],[0.02948756]
119,0.01,18.0,[[-0.44418535]],[0.02868386]
120,0.01,19.0,[[-0.44491525]],[0.02778415]
121,0.01,20.0,[[-0.44534117]],[0.02681674]
122,0.01,21.0,[[-0.44556609]],[0.02579643]
123,0.01,22.0,[[-0.4456747]],[0.02472291]
124,0.01,23.0,[[-0.44573782]],[0.02359214]
125,0.01,24.0,[[-0.44581639]],[0.0224104]
126,0.01,25.0,[[-0.44596184]],[0.02119545]
127,0.01,26.0,[[-0.4462116]],[0.01995835]
128,0.01,27.0,[[-0.44658304]],[0.01868175]
129,0.01,28.0,[[-0.44707088]],[0.01732524]
130,0.01,29.0,[[-0.44764943]],[0.01587313]
131,0.01,30.0,[[-0.44827679]],[0.014416]
132,0.01,31.0,[[-0.4489005]],[0.01324713]
133,0.01,32.0,[[-0.4494675]],[0.01288065]
134,0.01,33.0,[[-0.44990235]],[0.0136206]
135,0.01,34.0,[[-0.450109]],[0.01516808]
136,0.01,35.0,[[-0.45005604]],[0.01707796]
137,0.01,36.0,[[-0.44975994]],[0.01900227]
138,0.01,37.0,[[-0.44925065]],[0.02071335]
139,0.01,38.0,[[-0.44855798]],[0.02207091]
140,0.01,39.0,[[-0.44771089]],[0.02299151]
141,0.01,40.0,[[-0.4467415]],[0.02343113]
142,0.01,41.0,[[-0.44568939]],[0.02337714]
143,0.01,42.0,[[-0.44460441]],[0.02284542]
144,0.01,43.0,[[-0.4435468]],[0.02187972]
145,0.01,44.0,[[-0.44258355]],[0.02055164]
146,0.01,45.0,[[-0.44178001]],[0.01896109]
147,0.01,46.0,[[-0.44118673]],[0.01723928]
148,0.01,47.0,[[-0.44082399]],[0.01555754]
149,0.01,48.0,[[-0.44067012]],[0.01413344]
150,0.01,49.0,[[-0.44066449]],[0.01316409]
151,0.01,50.0,[[-0.44073545]],[0.01263131]
152,0.01,51.0,[[-0.44082767]],[0.01235608]
153,0.01,52.0,[[-0.44090798]],[0.01227658]
154,0.01,53.0,[[-0.44095744]],[0.0125173]
155,0.01,54.0,[[-0.44096997]],[0.01309349]
156,0.01,55.0,[[-0.44094949]],[0.01372011]
157,0.01,56.0,[[-0.44088593]],[0.01416906]
158,0.01,57.0,[[-0.44075306]],[0.01439696]
159,0.01,58.0,[[-0.44051404]],[0.01454679]
160,0.01,59.0,[[-0.44013035]],[0.0148986]
161,0.01,60.0,[[-0.4395796]],[0.01569314]
162,0.01,61.0,[[-0.43887521]],[0.01690103]
163,0.01,62.0,[[-0.43805735]],[0.01827913]
164,0.01,63.0,[[-0.43717215]],[0.0195792]
165,0.01,64.0,[[-0.43626423]],[0.02063507]
166,0.01,65.0,[[-0.4353761]],[0.02136538]
167,0.01,66.0,[[-0.43454797]],[0.02175637]
168,0.01,67.0,[[-0.43381579]],[0.0218426]
169,0.01,68.0,[[-0.43320732]],[0.0216859]
170,0.01,69.0,[[-0.43273777]],[0.02135085]
171,0.01,70.0,[[-0.43240687]],[0.02088159]
172,0.01,71.0,[[-0.43219905]],[0.02029227]
173,0.01,72.0,[[-0.43208672]],[0.0195787]
174,0.01,73.0,[[-0.43203514]],[0.01874368]
175,0.01,74.0,[[-0.43200686]],[0.01782382]
176,0.01,75.0,[[-0.4319645]],[0.01691165]
177,0.01,76.0,[[-0.43187292]],[0.01616665]
178,0.01,77.0,[[-0.43170363]],[0.01579011]
179,0.01,78.0,[[-0.43144711]],[0.01590853]
180,0.01,79.0,[[-0.43112827]],[0.01641888]
181,0.01,80.0,[[-0.43079969]],[0.01705157]
182,0.01,81.0,[[-0.43052066]],[0.01756027]
183,0.01,82.0,[[-0.43034245]],[0.01780009]
184,0.01,83.0,[[-0.43029852]],[0.01772181]
185,0.01,84.0,[[-0.43039794]],[0.0173489]
186,0.01,85.0,[[-0.43062387]],[0.01675865]
187,0.01,86.0,[[-0.43093728]],[0.01607612]
188,0.01,87.0,[[-0.43128415]],[0.0154877]
189,0.01,88.0,[[-0.43160655]],[0.01523057]
190,0.01,89.0,[[-0.43186498]],[0.01544173]
191,0.01,90.0,[[-0.43205885]],[0.01597521]
192,0.01,91.0,[[-0.43221288]],[0.01652382]
193,0.01,92.0,[[-0.43235485]],[0.01682846]
194,0.01,93.0,[[-0.43250523]],[0.01674545]
195,0.01,94.0,[[-0.43267195]],[0.01623711]
196,0.01,95.0,[[-0.43284671]],[0.01534697]
197,0.01,96.0,[[-0.43300278]],[0.01419237]
198,0.01,97.0,[[-0.43309543]],[0.01302569]
199,0.01,98.0,[[-0.43306537]],[0.0123955]
200,0.01,99.0,[[-0.43284504]],[0.0131833]
201,0.01,100.0,[[-0.43239825]],[0.01573118]
202,0.02,0.0,[[-0.23898358]],[0.03811272]
203,0.02,1.0,[[-0.26058112]],[0.03651594]
204,0.02,2.0,[[-0.28183799]],[0.03537622]
205,0.02,3.0,[[-0.30250469]],[0.03457429]
206,0.02,4.0,[[-0.32232666]],[0.03397762]
207,0.02,5.0,[[-0.34105428]],[0.03347043]
208,0.02,6.0,[[-0.35845557]],[0.03297491]
209,0.02,7.0,[[-0.37433082]],[0.0324594]
210,0.02,8.0,[[-0.38852697]],[0.03193393]
211,0.02,9.0,[[-0.40094964]],[0.03143522]
212,0.02,10.0,[[-0.41157097]],[0.03100414]
213,0.02,11.0,[[-0.42043164]],[0.03066189]
214,0.02,12.0,[[-0.42763543]],[0.0303947]
215,0.02,13.0,[[-0.43333627]],[0.03015472]
216,0.02,14.0,[[-0.43772016]],[0.02987615]
217,0.02,15.0,[[-0.4409867]],[0.02949717]
218,0.02,16.0,[[-0.44333378]],[0.02897795]
219,0.02,17.0,[[-0.44494724]],[0.02830917]
220,0.02,18.0,[[-0.44599487]],[0.02750997]
221,0.02,19.0,[[-0.44662335]],[0.02661601]
222,0.02,20.0,[[-0.44695692]],[0.02566134]
223,0.02,21.0,[[-0.44709769]],[0.02466295]
224,0.02,22.0,[[-0.4471286]],[0.02361883]
225,0.02,23.0,[[-0.44711882]],[0.02252237]
226,0.02,24.0,[[-0.44712886]],[0.02138106]
227,0.02,25.0,[[-0.44721131]],[0.02021909]
228,0.02,26.0,[[-0.44740559]],[0.01905433]
229,0.02,27.0,[[-0.44773045]],[0.01786821]
230,0.02,28.0,[[-0.44818092]],[0.01660783]
231,0.02,29.0,[[-0.44873094]],[0.01523832]
232,0.02,30.0,[[-0.4493375]],[0.01383102]
233,0.02,31.0,[[-0.44994498]],[0.01266747]
234,0.02,32.0,[[-0.45049588]],[0.01228173]
235,0.02,33.0,[[-0.45090887]],[0.013022]
236,0.02,34.0,[[-0.4510794]],[0.01458314]
237,0.02,35.0,[[-0.45098231]],[0.01651197]
238,0.02,36.0,[[-0.45064051]],[0.01845257]
239,0.02,37.0,[[-0.45008573]],[0.02017467]
240,0.02,38.0,[[-0.44934628]],[0.02153778]
241,0.02,39.0,[[-0.4484484]],[0.02245849]
242,0.02,40.0,[[-0.44742149]],[0.02289248]
243,0.02,41.0,[[-0.44630332]],[0.02282692]
244,0.02,42.0,[[-0.44514345]],[0.02227804]
245,0.02,43.0,[[-0.44400372]],[0.02129091]
246,0.02,44.0,[[-0.4429549]],[0.01993954]
247,0.02,45.0,[[-0.44206805]],[0.01832681]
248,0.02,46.0,[[-0.44140039]],[0.01658607]
249,0.02,47.0,[[-0.44097773]],[0.01488961]
250,0.02,48.0,[[-0.44078017]],[0.01346085]
251,0.02,49.0,[[-0.44074304]],[0.01251932]
252,0.02,50.0,[[-0.44078903]],[0.01204418]
253,0.02,51.0,[[-0.44086021]],[0.01182819]
254,0.02,52.0,[[-0.44092447]],[0.0117939]
255,0.02,53.0,[[-0.44096523]],[0.01206537]
256,0.02,54.0,[[-0.4409774]],[0.0126619]
257,0.02,55.0,[[-0.44096632]],[0.01327388]
258,0.02,56.0,[[-0.4409201]],[0.01367389]
259,0.02,57.0,[[-0.44080958]],[0.01382545]
260,0.02,58.0,[[-0.44059443]],[0.01388479]
261,0.02,59.0,[[-0.44023153]],[0.01416205]
262,0.02,60.0,[[-0.43969383]],[0.0149345]
263,0.02,61.0,[[-0.4389956]],[0.01616018]
264,0.02,62.0,[[-0.43817986]],[0.01755844]
265,0.02,63.0,[[-0.43729361]],[0.01886225]
266,0.02,64.0,[[-0.43638154]],[0.01990134]
267,0.02,65.0,[[-0.4354866]],[0.02059655]
268,0.02,66.0,[[-0.43465036]],[0.02093944]
269,0.02,67.0,[[-0.43391094]],[0.0209722]
270,0.02,68.0,[[-0.43329858]],[0.02076584]
271,0.02,69.0,[[-0.43283038]],[0.02039346]
272,0.02,70.0,[[-0.43250683]],[0.01990326]
273,0.02,71.0,[[-0.43231179]],[0.01930701]
274,0.02,72.0,[[-0.43221623]],[0.01859407]
275,0.02,73.0,[[-0.43218367]],[0.01776083]
276,0.02,74.0,[[-0.43217507]],[0.01684002]
277,0.02,75.0,[[-0.4321515]],[0.01592411]
278,0.02,76.0,[[-0.4320759]],[0.01517827]
279,0.02,77.0,[[-0.43191665]],[0.0148189]
280,0.02,78.0,[[-0.43166082]],[0.01498877]
281,0.02,79.0,[[-0.43133449]],[0.01556643]
282,0.02,80.0,[[-0.43099441]],[0.01625021]
283,0.02,81.0,[[-0.43070356]],[0.01678387]
284,0.02,82.0,[[-0.43051638]],[0.01702741]
285,0.02,83.0,[[-0.43046857]],[0.01694043]
286,0.02,84.0,[[-0.4305699]],[0.01655491]
287,0.02,85.0,[[-0.43080249]],[0.0159539]
288,0.02,86.0,[[-0.43112507]],[0.01526272]
289,0.02,87.0,[[-0.43148052]],[0.0146675]
290,0.02,88.0,[[-0.43180642]],[0.01442159]
291,0.02,89.0,[[-0.43205943]],[0.01468276]
292,0.02,90.0,[[-0.43224176]],[0.01528046]
293,0.02,91.0,[[-0.43238283]],[0.01587614]
294,0.02,92.0,[[-0.43251361]],[0.01620401]
295,0.02,93.0,[[-0.43265685]],[0.01612897]
296,0.02,94.0,[[-0.43282222]],[0.01562992]
297,0.02,95.0,[[-0.43300235]],[0.01477042]
298,0.02,96.0,[[-0.43317037]],[0.01368364]
299,0.02,97.0,[[-0.43328033]],[0.01262668]
300,0.02,98.0,[[-0.43327116]],[0.01213825]
301,0.02,99.0,[[-0.43307398]],[0.01305651]
302,0.02,100.0,[[-0.43265122]],[0.01567733]
303,0.03,0.0,[[-0.23956813]],[0.03656002]
304,0.03,1.0,[[-0.26143677]],[0.03497396]
305,0.03,2.0,[[-0.28297333]],[0.03386828]
306,0.03,3.0,[[-0.30391979]],[0.03311311]
307,0.03,4.0,[[-0.32401181]],[0.03256346]
308,0.03,5.0,[[-0.34298896]],[0.0320935]
309,0.03,6.0,[[-0.36060839]],[0.03162037]
310,0.03,7.0,[[-0.37666058]],[0.03111284]
311,0.03,8.0,[[-0.3909851]],[0.03058624]
312,0.03,9.0,[[-0.40348351]],[0.03008574]
313,0.03,10.0,[[-0.41412789]],[0.02966103]
314,0.03,11.0,[[-0.42296321]],[0.0293388]
315,0.03,12.0,[[-0.43010143]],[0.02910481]
316,0.03,13.0,[[-0.4357072]],[0.02890521]
317,0.03,14.0,[[-0.43997775]],[0.02866586]
318,0.03,15.0,[[-0.44312264]],[0.02831784]
319,0.03,16.0,[[-0.4453475]],[0.02781782]
320,0.03,17.0,[[-0.44684346]],[0.02715739]
321,0.03,18.0,[[-0.44778157]],[0.02636074]
322,0.03,19.0,[[-0.44831008]],[0.02547095]
323,0.03,20.0,[[-0.44855334]],[0.02452881]
324,0.03,21.0,[[-0.44861223]],[0.02355381]
325,0.03,22.0,[[-0.44856745]],[0.02254149]
326,0.03,23.0,[[-0.44848603]],[0.02148164]
327,0.03,24.0,[[-0.44842774]],[0.02038274]
328,0.03,25.0,[[-0.44844645]],[0.01927693]
329,0.03,26.0,[[-0.44858391]],[0.01819125]
330,0.03,27.0,[[-0.44886053]],[0.01710699]
331,0.03,28.0,[[-0.44927179]],[0.01595796]
332,0.03,29.0,[[-0.44979166]],[0.01468912]
333,0.03,30.0,[[-0.45037677]],[0.01335183]
334,0.03,31.0,[[-0.45096912]],[0.01221256]
335,0.03,32.0,[[-0.45150491]],[0.01180943]
336,0.03,33.0,[[-0.45189365]],[0.01252665]
337,0.03,34.0,[[-0.45202571]],[0.01407865]
338,0.03,35.0,[[-0.45188427]],[0.01600919]
339,0.03,36.0,[[-0.45149886]],[0.01795354]
340,0.03,37.0,[[-0.45090212]],[0.01967798]
341,0.03,38.0,[[-0.45012]],[0.02104112]
342,0.03,39.0,[[-0.4491753]],[0.02195882]
343,0.03,40.0,[[-0.44809419]],[0.02238588]
344,0.03,41.0,[[-0.44691224]],[0.02230879]
345,0.03,42.0,[[-0.44567837]],[0.0217439]
346,0.03,43.0,[[-0.44445585]],[0.02073773]
347,0.03,44.0,[[-0.44331917]],[0.01936723]
348,0.03,45.0,[[-0.44234543]],[0.01773925]
349,0.03,46.0,[[-0.44159913]],[0.01599027]
350,0.03,47.0,[[-0.44111239]],[0.01429283]
351,0.03,48.0,[[-0.44086791]],[0.01287129]
352,0.03,49.0,[[-0.44079717]],[0.01196412]
353,0.03,50.0,[[-0.44081661]],[0.01154991]
354,0.03,51.0,[[-0.4408651]],[0.01140029]
355,0.03,52.0,[[-0.44091185]],[0.01142471]
356,0.03,53.0,[[-0.44094387]],[0.01173187]
357,0.03,54.0,[[-0.44095735]],[0.01233675]
358,0.03,55.0,[[-0.44095788]],[0.01292086]
359,0.03,56.0,[[-0.44093123]],[0.01326359]
360,0.03,57.0,[[-0.4408452]],[0.01333579]
361,0.03,58.0,[[-0.44065608]],[0.01330412]
362,0.03,59.0,[[-0.44031636]],[0.01350495]
363,0.03,60.0,[[-0.43979385]],[0.01425416]
364,0.03,61.0,[[-0.43910401]],[0.01549392]
365,0.03,62.0,[[-0.43829281]],[0.01690474]
366,0.03,63.0,[[-0.43740761]],[0.01820372]
367,0.03,64.0,[[-0.43649275]],[0.01921798]
368,0.03,65.0,[[-0.43559145]],[0.01987095]
369,0.03,66.0,[[-0.4347467]],[0.02015942]
370,0.03,67.0,[[-0.4339991]],[0.02013331]
371,0.03,68.0,[[-0.43338168]],[0.01987336]
372,0.03,69.0,[[-0.43291383]],[0.0194621]
373,0.03,70.0,[[-0.43259694]],[0.01895232]
374,0.03,71.0,[[-0.43241436]],[0.01835289]
375,0.03,72.0,[[-0.43233548]],[0.01764595]
376,0.03,73.0,[[-0.43232204]],[0.01682124]
377,0.03,74.0,[[-0.43233342]],[0.01590776]
378,0.03,75.0,[[-0.43232925]],[0.01499803]
379,0.03,76.0,[[-0.43227066]],[0.01426156]
380,0.03,77.0,[[-0.43212293]],[0.0139266]
381,0.03,78.0,[[-0.43186907]],[0.01415158]
382,0.03,79.0,[[-0.43153628]],[0.01479345]
383,0.03,80.0,[[-0.43118563]],[0.01551886]
384,0.03,81.0,[[-0.43088352]],[0.01606698]
385,0.03,82.0,[[-0.4306875]],[0.01630627]
386,0.03,83.0,[[-0.43063569]],[0.01620672]
387,0.03,84.0,[[-0.43073862]],[0.01580983]
388,0.03,85.0,[[-0.43097727]],[0.01520532]
389,0.03,86.0,[[-0.43130808]],[0.01451769]
390,0.03,87.0,[[-0.43167106]],[0.01392775]
391,0.03,88.0,[[-0.43199941]],[0.01369939]
392,0.03,89.0,[[-0.43224534]],[0.01401253]
393,0.03,90.0,[[-0.43241453]],[0.01466851]
394,0.03,91.0,[[-0.43254121]],[0.01530005]
395,0.03,92.0,[[-0.4326593]],[0.01563956]
396,0.03,93.0,[[-0.43279387]],[0.01556337]
397,0.03,94.0,[[-0.43295635]],[0.01506963]
398,0.03,95.0,[[-0.43314038]],[0.01424627]
399,0.03,96.0,[[-0.43331896]],[0.01324692]
400,0.03,97.0,[[-0.43344476]],[0.01233435]
401,0.03,98.0,[[-0.43345491]],[0.01202829]
402,0.03,99.0,[[-0.43328056]],[0.01308887]
403,0.03,100.0,[[-0.43288291]],[0.01576021]
404,0.04,0.0,[[-0.24012455]],[0.03502369]
405,0.04,1.0,[[-0.2622674]],[0.03344914]
406,0.04,2.0,[[-0.28408786]],[0.03238042]
407,0.04,3.0,[[-0.30531918]],[0.03167588]
408,0.04,4.0,[[-0.32568677]],[0.03117661]
409,0.04,5.0,[[-0.34491885]],[0.03074576]
410,0.04,6.0,[[-0.36276091]],[0.03029503]
411,0.04,7.0,[[-0.37899307]],[0.02979384]
412,0.04,8.0,[[-0.39344704]],[0.0292634]
413,0.04,9.0,[[-0.40602015]],[0.02875838]
414,0.04,10.0,[[-0.41668456]],[0.0283385]
415,0.04,11.0,[[-0.4254899]],[0.02803673]
416,0.04,12.0,[[-0.43255709]],[0.02783822]
417,0.04,13.0,[[-0.43806238]],[0.02768209]
418,0.04,14.0,[[-0.44221507]],[0.02748463]
419,0.04,15.0,[[-0.44523518]],[0.02716901]
420,0.04,16.0,[[-0.44733618]],[0.02668807]
421,0.04,17.0,[[-0.44871442]],[0.02603452]
422,0.04,18.0,[[-0.44954393]],[0.02523818]
423,0.04,19.0,[[-0.44997428]],[0.02435074]
424,0.04,20.0,[[-0.45012968]],[0.02342088]
425,0.04,21.0,[[-0.45010937]],[0.02247099]
426,0.04,22.0,[[-0.44999127]],[0.02149327]
427,0.04,23.0,[[-0.44983971]],[0.02047252]
428,0.04,24.0,[[-0.44971339]],[0.0194178]
429,0.04,25.0,[[-0.44966753]],[0.01837078]
430,0.04,26.0,[[-0.44974661]],[0.01737037]
431,0.04,27.0,[[-0.44997297]],[0.01639883]
432,0.04,28.0,[[-0.45034264]],[0.01537547]
433,0.04,29.0,[[-0.45083]],[0.01422399]
434,0.04,30.0,[[-0.45139218]],[0.01297553]
435,0.04,31.0,[[-0.45196997]],[0.01187935]
436,0.04,32.0,[[-0.45249186]],[0.01146271]
437,0.04,33.0,[[-0.45285315]],[0.01213175]
438,0.04,34.0,[[-0.45294445]],[0.01365209]
439,0.04,35.0,[[-0.45275916]],[0.01556712]
440,0.04,36.0,[[-0.45233313]],[0.01750257]
441,0.04,37.0,[[-0.45169882]],[0.01922075]
442,0.04,38.0,[[-0.45087888]],[0.02057861]
443,0.04,39.0,[[-0.44989197]],[0.0214905]
444,0.04,40.0,[[-0.44876055]],[0.02190962]
445,0.04,41.0,[[-0.44751759]],[0.02182126]
446,0.04,42.0,[[-0.44621106]],[0.02124168]
447,0.04,43.0,[[-0.44490539]],[0.02021887]
448,0.04,44.0,[[-0.44367877]],[0.01883335]
449,0.04,45.0,[[-0.44261453]],[0.01719709]
450,0.04,46.0,[[-0.44178506]],[0.01545122]
451,0.04,47.0,[[-0.44122967]],[0.01376858]
452,0.04,48.0,[[-0.44093448]],[0.01236938]
453,0.04,49.0,[[-0.44082768]],[0.01150218]
454,0.04,50.0,[[-0.44081906]],[0.01114724]
455,0.04,51.0,[[-0.44084316]],[0.01106828]
456,0.04,52.0,[[-0.44087084]],[0.01116471]
457,0.04,53.0,[[-0.44089409]],[0.0115136]
458,0.04,54.0,[[-0.44091101]],[0.01211171]
459,0.04,55.0,[[-0.44092549]],[0.01265498]
460,0.04,56.0,[[-0.44092064]],[0.01293356]
461,0.04,57.0,[[-0.44086107]],[0.0129261]
462,0.04,58.0,[[-0.44069986]],[0.01280717]
463,0.04,59.0,[[-0.44038556]],[0.01293317]
464,0.04,60.0,[[-0.43988041]],[0.01365862]
465,0.04,61.0,[[-0.43920155]],[0.01490645]
466,0.04,62.0,[[-0.43839768]],[0.01632001]
467,0.04,63.0,[[-0.43751584]],[0.0176044]
468,0.04,64.0,[[-0.43659961]],[0.01858542]
469,0.04,65.0,[[-0.43569237]],[0.01918901]
470,0.04,66.0,[[-0.43483858]],[0.01941694]
471,0.04,67.0,[[-0.4340816]],[0.01932675]
472,0.04,68.0,[[-0.43345772]],[0.01900947]
473,0.04,69.0,[[-0.43298896]],[0.01855805]
474,0.04,70.0,[[-0.43267787]],[0.0180305]
475,0.04,71.0,[[-0.43250726]],[0.01743218]
476,0.04,72.0,[[-0.43244487]],[0.01673719]
477,0.04,73.0,[[-0.43245056]],[0.01592847]
478,0.04,74.0,[[-0.43248214]],[0.01503183]
479,0.04,75.0,[[-0.43249788]],[0.01414031]
480,0.04,76.0,[[-0.43245725]],[0.01342656]
481,0.04,77.0,[[-0.43232264]],[0.01312541]
482,0.04,78.0,[[-0.43207231]],[0.01340817]
483,0.04,79.0,[[-0.4317346]],[0.01410714]
484,0.04,80.0,[[-0.43137473]],[0.01486086]
485,0.04,81.0,[[-0.43106217]],[0.01541061]
486,0.04,82.0,[[-0.4308576]],[0.01563658]
487,0.04,83.0,[[-0.43080172]],[0.01552035]
488,0.04,84.0,[[-0.43090591]],[0.01511373]
489,0.04,85.0,[[-0.43114991]],[0.01451441]
490,0.04,86.0,[[-0.43148774]],[0.01384553]
491,0.04,87.0,[[-0.43185676]],[0.01327701]
492,0.04,88.0,[[-0.43218626]],[0.01307464]
493,0.04,89.0,[[-0.43242344]],[0.01344016]
494,0.04,90.0,[[-0.43257809]],[0.01414439]
495,0.04,91.0,[[-0.43268907]],[0.01479742]
496,0.04,92.0,[[-0.43279305]],[0.01513519]
497,0.04,93.0,[[-0.43291743]],[0.0150476]
498,0.04,94.0,[[-0.43307548]],[0.01455414]
