,beta0,beta1,value
0,0.0,0.0,-0.00344172397376704
1,0.0,0.01,-0.012317061591759954
2,0.0,0.02,-0.022028556523174564
3,0.0,0.03,-0.031342067073177
4,0.0,0.04,-0.03998697498900901
5,0.0,0.05,-0.050183318378808364
6,0.0,0.06,-0.05705392772677648
7,0.0,0.07,-0.06253550745434652
8,0.0,0.08,-0.06957901758986282
9,0.0,0.09,-0.07438497311414237
10,0.0,0.1,-0.07903300156350834
11,0.0,0.11,-0.08134740130944122
12,0.0,0.12,-0.08259033882536042
13,0.0,0.13,-0.0825817824529406
14,0.0,0.14,-0.0814936320703302
15,0.0,0.15,-0.07901284447369773
16,0.0,0.16,-0.07564333560022653
17,0.0,0.17,-0.07161545836442831
18,0.0,0.18,-0.06501048531717486
19,0.0,0.19,-0.057836969001741706
20,0.0,0.2,-0.04930061819809972
21,0.0,0.21,-0.041025167300595626
22,0.0,0.22,-0.03154205465066696
23,0.0,0.23,-0.02127796519953089
24,0.0,0.24,-0.012347287250094928
25,0.0,0.25,-0.0024715228897865802
26,0.0,0.26,0.007304716764449279
27,0.0,0.27,0.01977034386716364
28,0.0,0.28,0.028697504373554294
29,0.0,0.29,0.036303187531957076
30,0.0,0.3,0.0445658424095153
31,0.0,0.31,0.05134379068708549
32,0.0,0.32,0.05895335060080598
33,0.0,0.33,0.06457932664369012
34,0.0,0.34,0.0692595751411341
35,0.0,0.35000000000000003,0.07274355697922201
36,0.0,0.36,0.07518028036408396
37,0.0,0.37,0.07664194847448325
38,0.0,0.38,0.07660843710856462
39,0.0,0.39,0.07511496398620762
40,0.0,0.4,0.07216226608942267
41,0.0,0.41000000000000003,0.06819260505836329
42,0.0,0.42,0.06276698220223996
43,0.0,0.43,0.056304182260827305
44,0.0,0.44,0.05000680132721955
45,0.0,0.45,0.042628674482614114
46,0.0,0.46,0.034847616467471774
47,0.0,0.47000000000000003,0.0266496581929902
48,0.0,0.48,0.017804446535985546
49,0.0,0.49,0.00838568302811241
50,0.0,0.5,-0.0018893825140753272
51,0.0,0.51,-0.013264270186893915
52,0.0,0.52,-0.022000121425835656
53,0.0,0.53,-0.03187483444562086
54,0.0,0.54,-0.04192939659025988
55,0.0,0.55,-0.05071149146452476
56,0.0,0.56,-0.05930013934907828
57,0.0,0.5700000000000001,-0.06585782479612445
58,0.0,0.58,-0.07158402271013413
59,0.0,0.59,-0.07697878062616097
60,0.0,0.6,-0.08117052579296383
61,0.0,0.61,-0.08312976309470635
62,0.0,0.62,-0.08440227566440112
63,0.0,0.63,-0.08443537349389181
64,0.0,0.64,-0.08320786958555507
65,0.0,0.65,-0.08086478137536314
66,0.0,0.66,-0.07686161838924574
67,0.0,0.67,-0.07246645760930195
68,0.0,0.68,-0.06699656345737316
69,0.0,0.6900000000000001,-0.05930750162714469
70,0.0,0.7000000000000001,-0.05197224532939956
71,0.0,0.71,-0.04413096294813852
72,0.0,0.72,-0.03455530298743945
73,0.0,0.73,-0.02484066586367068
74,0.0,0.74,-0.014727369616862213
75,0.0,0.75,-0.00514959015705323
76,0.0,0.76,0.004923157807515868
77,0.0,0.77,0.015131519799365873
78,0.0,0.78,0.024159638153700858
79,0.0,0.79,0.032363481659601616
80,0.0,0.8,0.04148941466373024
81,0.0,0.81,0.04904048375860783
82,0.0,0.8200000000000001,0.05628415620637943
83,0.0,0.8300000000000001,0.06282098720570745
84,0.0,0.84,0.06734439685226841
85,0.0,0.85,0.07154090083079692
86,0.0,0.86,0.07436418341077772
87,0.0,0.87,0.0754431197860803
88,0.0,0.88,0.07535834244939082
89,0.0,0.89,0.0742920456389562
90,0.0,0.9,0.07167326558830112
91,0.0,0.91,0.06842888125820082
92,0.0,0.92,0.06400740915630897
93,0.0,0.93,0.05915046187462059
94,0.0,0.9400000000000001,0.052964907615579135
95,0.0,0.9500000000000001,0.046115849070091475
96,0.0,0.96,0.03760723563802563
97,0.0,0.97,0.02731808901152783
98,0.0,0.98,0.017716202918640494
99,0.0,0.99,0.007997776125927272
100,0.0,1.0,-0.001676252249242692
101,0.01,0.0,-0.00344172397376704
102,0.01,0.01,-0.00344172397376704
103,0.01,0.02,-0.013153218905181651
104,0.01,0.03,-0.022466729455184083
105,0.01,0.04,-0.031111637371016094
106,0.01,0.05,-0.04130798076081545
107,0.01,0.06,-0.048178590108783566
108,0.01,0.07,-0.0536601698363536
109,0.01,0.08,-0.06070367997186991
110,0.01,0.09,-0.06550963549614947
111,0.01,0.1,-0.07015766394551545
112,0.01,0.11,-0.07247206369144829
113,0.01,0.12,-0.07371500120736751
114,0.01,0.13,-0.07370644483494769
115,0.01,0.14,-0.07261829445233728
116,0.01,0.15,-0.07013750685570481
117,0.01,0.16,-0.06676799798223362
118,0.01,0.17,-0.0627401207464354
119,0.01,0.18,-0.056135147699181945
120,0.01,0.19,-0.04896163138374879
121,0.01,0.2,-0.04042528058010681
122,0.01,0.21,-0.032149829682602715
123,0.01,0.22,-0.022666717032674047
124,0.01,0.23,-0.012402627581537977
125,0.01,0.24,-0.0034719496321020137
126,0.01,0.25,0.006403814728206334
127,0.01,0.26,0.016180054382442195
128,0.01,0.27,0.028645681485156553
129,0.01,0.28,0.03757284199154721
130,0.01,0.29,0.04517852514994999
131,0.01,0.3,0.05344118002750822
132,0.01,0.31,0.060219128305078404
133,0.01,0.32,0.0678286882187989
134,0.01,0.33,0.07345466426168303
135,0.01,0.34,0.07813491275912701
136,0.01,0.35000000000000003,0.08161889459721493
137,0.01,0.36,0.08405561798207686
138,0.01,0.37,0.08551728609247616
139,0.01,0.38,0.08548377472655753
140,0.01,0.39,0.08399030160420053
141,0.01,0.4,0.08103760370741558
142,0.01,0.41000000000000003,0.07706794267635621
143,0.01,0.42,0.07164231982023288
144,0.01,0.43,0.06517951987882022
145,0.01,0.44,0.05888213894521246
146,0.01,0.45,0.05150401210060703
147,0.01,0.46,0.04372295408546469
