,beta0,beta1,value
0,0.0,0.0,0.11580880402847488
1,0.0,0.01,0.10773163305911061
2,0.0,0.02,0.09861046612494422
3,0.0,0.03,0.09015478977798594
4,0.0,0.04,0.08416733610503295
5,0.0,0.05,0.07799364751835323
6,0.0,0.06,0.0708922871439776
7,0.0,0.07,0.06552689489476142
8,0.0,0.08,0.06059302918828835
9,0.0,0.09,0.05683398625431826
10,0.0,0.1,0.053632527299395306
11,0.0,0.11,0.05161371703307167
12,0.0,0.12,0.050755753757113005
13,0.0,0.13,0.05074484480294361
14,0.0,0.14,0.051816739269159924
15,0.0,0.15,0.0540180474611283
16,0.0,0.16,0.05652575606927784
17,0.0,0.17,0.060286993050826194
18,0.0,0.18,0.06523554193114799
19,0.0,0.19,0.07072660159184284
20,0.0,0.2,0.07720103567251435
21,0.0,0.21,0.08419396866747153
22,0.0,0.22,0.09230801215271647
23,0.0,0.23,0.10181223355859623
24,0.0,0.24,0.11093560484860795
25,0.0,0.25,0.11861597075042728
26,0.0,0.26,0.12719567975771914
27,0.0,0.27,0.13524602943544972
28,0.0,0.28,0.1433283643683553
29,0.0,0.29,0.15065297772987232
30,0.0,0.3,0.15681181885021853
31,0.0,0.31,0.1618119459023508
32,0.0,0.32,0.1680254479251733
33,0.0,0.33,0.17312828828944696
34,0.0,0.34,0.17736251969609784
35,0.0,0.35000000000000003,0.18007162720250652
36,0.0,0.36,0.18211622597732094
37,0.0,0.37,0.18307340735497013
38,0.0,0.38,0.18310450310417561
39,0.0,0.39,0.1820812408005942
40,0.0,0.4,0.18023424480030484
41,0.0,0.41000000000000003,0.17669355117783117
42,0.0,0.42,0.17290068049414994
43,0.0,0.43,0.1687941671372319
44,0.0,0.44,0.16327561726990922
45,0.0,0.45,0.15750374742317966
46,0.0,0.46,0.15046785769096221
47,0.0,0.47000000000000003,0.14380426760292664
48,0.0,0.48,0.136665574800661
49,0.0,0.49,0.12813084532757277
50,0.0,0.5,0.12035136507379969
51,0.0,0.51,0.11157301307980656
52,0.0,0.52,0.10440170158320732
53,0.0,0.53,0.09802655621701054
54,0.0,0.54,0.0898921550179978
55,0.0,0.55,0.08398114085804073
56,0.0,0.56,0.07828094833059458
57,0.0,0.5700000000000001,0.0729640033280284
58,0.0,0.58,0.06815748940643032
59,0.0,0.59,0.06493778035951403
60,0.0,0.6,0.06215919699243294
61,0.0,0.61,0.06038514225490077
62,0.0,0.62,0.059332222663562514
63,0.0,0.63,0.05932571916136035
64,0.0,0.64,0.060390027448323225
65,0.0,0.65,0.0621590262895638
66,0.0,0.66,0.06501048638160399
67,0.0,0.67,0.06898594443725181
68,0.0,0.68,0.07264417817263233
69,0.0,0.6900000000000001,0.0778526551316131
70,0.0,0.7000000000000001,0.08454966720208831
71,0.0,0.71,0.09080515926652621
72,0.0,0.72,0.09794221734192128
73,0.0,0.73,0.10698039171324505
74,0.0,0.74,0.11453487281913767
75,0.0,0.75,0.12280908115307389
76,0.0,0.76,0.13128603945652975
77,0.0,0.77,0.13874991691708366
78,0.0,0.78,0.14627113511118955
79,0.0,0.79,0.15206455709592778
80,0.0,0.8,0.1586569209475764
81,0.0,0.81,0.16561372418813358
82,0.0,0.8200000000000001,0.17227194064072782
83,0.0,0.8300000000000001,0.17671561465100177
84,0.0,0.84,0.181335147902603
85,0.0,0.85,0.1840237408971727
86,0.0,0.86,0.1856062980496612
87,0.0,0.87,0.1866026496605785
88,0.0,0.88,0.18661038057833776
89,0.0,0.89,0.18547607676627023
90,0.0,0.9,0.1834247433003431
91,0.0,0.91,0.18005859247552908
