,beta0,beta1,value
0,0.0,0.0,0.2559437251710835
1,0.0,0.01,0.24784943587714256
2,0.0,0.02,0.23859426629661556
3,0.0,0.03,0.2298060851353659
4,0.0,0.04,0.2233610886461508
5,0.0,0.05,0.21634841475487487
6,0.0,0.06,0.2076891507408175
7,0.0,0.07,0.20052383635997673
8,0.0,0.08,0.19304064150567155
9,0.0,0.09,0.18625479912136395
10,0.0,0.1,0.17898857636078447
11,0.0,0.11,0.17251645095187695
12,0.0,0.12,0.16741427434256742
13,0.0,0.13,0.16210784344702298
14,0.0,0.14,0.15670301628505173
15,0.0,0.15,0.15131626512483765
16,0.0,0.16,0.14742494878961637
17,0.0,0.17,0.1434578624875571
18,0.0,0.18,0.1396529186521393
19,0.0,0.19,0.1364049556629564
20,0.0,0.2,0.13356510150204362
21,0.0,0.21,0.13124106896893528
22,0.0,0.22,0.12925108822861964
23,0.0,0.23,0.12768720837382802
24,0.0,0.24,0.12679705634300123
25,0.0,0.25,0.12656231884574046
26,0.0,0.26,0.12681840338801745
27,0.0,0.27,0.12758728209042416
28,0.0,0.28,0.1289121549238276
29,0.0,0.29,0.1306780744762598
30,0.0,0.3,0.13271465270453067
31,0.0,0.31,0.1349192225277373
32,0.0,0.32,0.1384571920580448
33,0.0,0.33,0.14241029968212415
34,0.0,0.34,0.14689055244852353
35,0.0,0.35000000000000003,0.15112759984224725
36,0.0,0.36,0.1560782386867394
37,0.0,0.37,0.1611015473703299
38,0.0,0.38,0.16702940691175405
39,0.0,0.39,0.17324882069694442
40,0.0,0.4,0.179097424774373
41,0.0,0.41000000000000003,0.18703883885919498
42,0.0,0.42,0.19383462889532962
43,0.0,0.43,0.20006915446982332
44,0.0,0.44,0.2074955979631118
45,0.0,0.45,0.21455018185995808
46,0.0,0.46,0.2226018305375676
47,0.0,0.47000000000000003,0.229815325338216
48,0.0,0.48,0.2372244232989624
49,0.0,0.49,0.24588299213959908
50,0.0,0.5,0.25367785904632545
51,0.0,0.51,0.2624724439407508
52,0.0,0.52,0.2697401874185825
53,0.0,0.53,0.2763584509169658
54,0.0,0.54,0.2851393089840314
55,0.0,0.55,0.2918614573141597
56,0.0,0.56,0.29882339872149416
57,0.0,0.5700000000000001,0.305975543931215
58,0.0,0.58,0.31327775984455175
59,0.0,0.59,0.3190420258064007
60,0.0,0.6,0.32539309996201143
61,0.0,0.61,0.3310053735939433
62,0.0,0.62,0.3370932253624345
63,0.0,0.63,0.34253928113561244
64,0.0,0.64,0.3478761787898532
65,0.0,0.65,0.3522252763564612
66,0.0,0.66,0.3566169317139584
67,0.0,0.67,0.3608514026202332
68,0.0,0.68,0.36365716352506505
69,0.0,0.6900000000000001,0.36666937092281376
70,0.0,0.7000000000000001,0.3696176417404739
71,0.0,0.71,0.3716717309392273
72,0.0,0.72,0.37340243271886575
73,0.0,0.73,0.374874275983496
74,0.0,0.74,0.3756119398273044
75,0.0,0.75,0.37589623260763283
76,0.0,0.76,0.3756235902238035
77,0.0,0.77,0.37491605166859326
78,0.0,0.78,0.3737010085980007
79,0.0,0.79,0.3723123220517015
80,0.0,0.8,0.37014621813345766
81,0.0,0.81,0.3671179654052612
82,0.0,0.8200000000000001,0.36319758902351496
83,0.0,0.8300000000000001,0.3597364160337217
84,0.0,0.84,0.35492388791163637
85,0.0,0.85,0.35082280713170677
86,0.0,0.86,0.3468976086379467
87,0.0,0.87,0.34160590634572086
88,0.0,0.88,0.3355285908908859
89,0.0,0.89,0.3287762663067616
