,beta0,beta1,value
0,0.0,0.0,0.8745049940418054
1,0.0,0.01,0.8614049940418054
2,0.0,0.02,0.8481049940418054
3,0.0,0.03,0.8348049940418054
4,0.0,0.04,0.8214049940418053
5,0.0,0.05,0.8082049940418053
6,0.0,0.06,0.7959049940418054
7,0.0,0.07,0.7827049940418054
8,0.0,0.08,0.7682049940418053
9,0.0,0.09,0.7551049940418054
10,0.0,0.1,0.7418049940418053
11,0.0,0.11,0.7290049940418054
12,0.0,0.12,0.7160049940418054
13,0.0,0.13,0.7011049940418054
14,0.0,0.14,0.6861049940418054
15,0.0,0.15,0.6728049940418054
16,0.0,0.16,0.6582049940418053
17,0.0,0.17,0.6438049940418054
18,0.0,0.18,0.6306049940418054
19,0.0,0.19,0.6164049940418054
20,0.0,0.2,0.6032049940418054
21,0.0,0.21,0.5899049940418054
22,0.0,0.22,0.5759049940418054
23,0.0,0.23,0.5626049940418054
24,0.0,0.24,0.5511049940418054
25,0.0,0.25,0.5388049940418054
26,0.0,0.26,0.5248049940418054
27,0.0,0.27,0.5112049940418054
28,0.0,0.28,0.4953049940418054
29,0.0,0.29,0.4817049940418054
30,0.0,0.3,0.4708049940418055
31,0.0,0.31,0.4580049940418054
32,0.0,0.32,0.44770499404180536
33,0.0,0.33,0.43660499404180536
34,0.0,0.34,0.42410499404180535
35,0.0,0.35000000000000003,0.4107049940418054
36,0.0,0.36,0.3982049940418054
37,0.0,0.37,0.3839049940418054
38,0.0,0.38,0.3701049940418054
39,0.0,0.39,0.3591049940418054
40,0.0,0.4,0.34580499404180537
41,0.0,0.41000000000000003,0.33160499404180543
42,0.0,0.42,0.3181049940418054
43,0.0,0.43,0.30510499404180536
44,0.0,0.44,0.2909049940418054
45,0.0,0.45,0.27870499404180543
46,0.0,0.46,0.2653049940418054
47,0.0,0.47000000000000003,0.2516049940418054
48,0.0,0.48,0.2368049940418054
49,0.0,0.49,0.22240499404180536
50,0.0,0.5,0.20720499404180542
51,0.0,0.51,0.19340499404180542
52,0.0,0.52,0.1789049940418054
53,0.0,0.53,0.16460499404180542
54,0.0,0.54,0.15030499404180542
55,0.0,0.55,0.13590499404180542
56,0.0,0.56,0.12350499404180539
57,0.0,0.5700000000000001,0.11160499404180539
58,0.0,0.58,0.09780499404180538
59,0.0,0.59,0.0851049940418054
60,0.0,0.6,0.07330499404180539
61,0.0,0.61,0.06000499404180539
62,0.0,0.62,0.04660499404180539
63,0.0,0.63,0.03180499404180539
64,0.0,0.64,0.01870499404180539
65,0.0,0.65,0.006904994041805392
66,0.0,0.66,-0.005695005958194608
67,0.0,0.67,-0.019795005958194608
68,0.0,0.68,-0.03259500595819461
69,0.0,0.6900000000000001,-0.04679500595819461
70,0.0,0.7000000000000001,-0.05949500595819461
71,0.0,0.71,-0.07269500595819461
72,0.0,0.72,-0.08679500595819462
73,0.0,0.73,-0.09929500595819461
74,0.0,0.74,-0.11119500595819459
75,0.0,0.75,-0.1254950059581946
76,0.0,0.76,-0.1254950059581946
77,0.0,0.77,-0.1254950059581946
78,0.0,0.78,-0.1254950059581946
79,0.0,0.79,-0.1254950059581946
80,0.0,0.8,-0.1254950059581946
81,0.0,0.81,-0.1254950059581946
82,0.0,0.8200000000000001,-0.1254950059581946
83,0.0,0.8300000000000001,-0.1254950059581946
84,0.0,0.84,-0.1254950059581946
85,0.0,0.85,-0.1254950059581946
86,0.0,0.86,-0.1254950059581946
87,0.0,0.87,-0.1254950059581946
88,0.0,0.88,-0.1254950059581946
89,0.0,0.89,-0.1254950059581946
90,0.0,0.9,-0.1254950059581946
91,0.0,0.91,-0.1254950059581946
92,0.0,0.92,-0.1254950059581946
93,0.0,0.93,-0.1254950059581946
94,0.0,0.9400000000000001,-0.1254950059581946
95,0.0,0.9500000000000001,-0.1254950059581946
96,0.0,0.96,-0.1254950059581946
97,0.0,0.97,-0.1254950059581946
98,0.0,0.98,-0.1254950059581946
99,0.0,0.99,-0.1254950059581946
100,0.0,1.0,-0.1254950059581946
101,0.01,0.0,0.8745049940418054
102,0.01,0.01,0.8745049940418054
103,0.01,0.02,0.8612049940418054
104,0.01,0.03,0.8479049940418054
105,0.01,0.04,0.8345049940418053
106,0.01,0.05,0.8213049940418053
107,0.01,0.06,0.8090049940418054
