,beta0,beta1,value
0,0.0,0.0,-0.11553182759798451
1,0.0,0.01,-0.12859996581678906
2,0.0,0.02,-0.1416643932361673
3,0.0,0.03,-0.15430101619142778
4,0.0,0.04,-0.16642756063928987
5,0.0,0.05,-0.17758564053125714
6,0.0,0.06,-0.18707580758039713
7,0.0,0.07,-0.1960633304737484
8,0.0,0.08,-0.204583518747745
9,0.0,0.09,-0.21085813825691962
10,0.0,0.1,-0.21575395018478044
11,0.0,0.11,-0.21893513056104494
12,0.0,0.12,-0.2205710617572874
13,0.0,0.13,-0.22054003864852284
14,0.0,0.14,-0.21860826214744783
15,0.0,0.15,-0.21524747344447837
16,0.0,0.16,-0.20991709848845153
17,0.0,0.17,-0.20287870552842113
18,0.0,0.18,-0.19519440277468736
19,0.0,0.19,-0.1854586579354817
20,0.0,0.2,-0.17530408348035667
21,0.0,0.21,-0.16405466452095294
22,0.0,0.22,-0.15139644794293755
23,0.0,0.23,-0.13875797079039326
24,0.0,0.24,-0.12747000038004158
25,0.0,0.25,-0.1152015835317065
26,0.0,0.26,-0.10123734987621934
27,0.0,0.27,-0.08789044033592065
28,0.0,0.28,-0.07276763701205541
29,0.0,0.29,-0.060476701016496326
30,0.0,0.3,-0.05131768788652718
31,0.0,0.31,-0.04140474009559948
32,0.0,0.32,-0.034382180861728465
33,0.0,0.33,-0.02788836793844463
34,0.0,0.34,-0.021890542830292434
35,0.0,0.35000000000000003,-0.016933609628942872
36,0.0,0.36,-0.013777137039037532
37,0.0,0.37,-0.011962365392036106
38,0.0,0.38,-0.011999868675011315
39,0.0,0.39,-0.013427813717267822
40,0.0,0.4,-0.01679227707325212
41,0.0,0.41000000000000003,-0.022013477930788953
42,0.0,0.42,-0.028512714949210725
43,0.0,0.43,-0.03609885024483352
44,0.0,0.44,-0.04579993518472786
45,0.0,0.45,-0.055233357835132196
46,0.0,0.46,-0.066568016314546
47,0.0,0.47000000000000003,-0.07892052706422492
48,0.0,0.48,-0.0929750145421606
49,0.0,0.49,-0.10711057083301476
50,0.0,0.5,-0.12227157897241565
51,0.0,0.51,-0.13603118330881922
52,0.0,0.52,-0.150282458812078
53,0.0,0.53,-0.16386049122958352
54,0.0,0.54,-0.17675417048589684
55,0.0,0.55,-0.18892003525784795
56,0.0,0.56,-0.19846432961415245
57,0.0,0.5700000000000001,-0.20662174173768327
58,0.0,0.58,-0.21476172053775494
59,0.0,0.59,-0.22092103718446368
60,0.0,0.6,-0.22524137581602954
61,0.0,0.61,-0.2285758363685719
62,0.0,0.62,-0.23034822223223378
63,0.0,0.63,-0.23028564231324916
64,0.0,0.64,-0.2285793869468901
65,0.0,0.65,-0.22569939649136492
66,0.0,0.66,-0.22103650269344952
67,0.0,0.67,-0.21423281585121967
68,0.0,0.68,-0.20670102796420461
69,0.0,0.6900000000000001,-0.19700626960617143
70,0.0,0.7000000000000001,-0.18722001621193715
71,0.0,0.71,-0.17606772891775072
72,0.0,0.72,-0.1633321872787869
73,0.0,0.73,-0.1514334253253394
74,0.0,0.74,-0.13975297413900822
75,0.0,0.75,-0.1254950059581946
76,0.0,0.76,-0.1254950059581946
77,0.0,0.77,-0.1254950059581946
78,0.0,0.78,-0.1254950059581946
79,0.0,0.79,-0.1254950059581946
80,0.0,0.8,-0.1254950059581946
81,0.0,0.81,-0.1254950059581946
82,0.0,0.8200000000000001,-0.1254950059581946
83,0.0,0.8300000000000001,-0.1254950059581946
84,0.0,0.84,-0.1254950059581946
85,0.0,0.85,-0.1254950059581946
86,0.0,0.86,-0.1254950059581946
87,0.0,0.87,-0.1254950059581946
88,0.0,0.88,-0.1254950059581946
89,0.0,0.89,-0.1254950059581946
90,0.0,0.9,-0.1254950059581946
91,0.0,0.91,-0.1254950059581946
92,0.0,0.92,-0.1254950059581946
93,0.0,0.93,-0.1254950059581946
94,0.0,0.9400000000000001,-0.1254950059581946
95,0.0,0.9500000000000001,-0.1254950059581946
96,0.0,0.96,-0.1254950059581946
97,0.0,0.97,-0.1254950059581946
98,0.0,0.98,-0.1254950059581946
99,0.0,0.99,-0.1254950059581946
100,0.0,1.0,-0.1254950059581946
101,0.01,0.0,-0.11553182759798451
102,0.01,0.01,-0.11553182759798451
103,0.01,0.02,-0.12859625501736274
104,0.01,0.03,-0.14123287797262324
105,0.01,0.04,-0.15335942242048528
106,0.01,0.05,-0.1645175023124526
107,0.01,0.06,-0.17400766936159254
108,0.01,0.07,-0.18299519225494384
109,0.01,0.08,-0.19151538052894043
110,0.01,0.09,-0.19779000003811503
111,0.01,0.1,-0.20268581196597585
112,0.01,0.11,-0.20586699234224037
113,0.01,0.12,-0.2075029235384829
114,0.01,0.13,-0.20747190042971833
115,0.01,0.14,-0.20554012392864324
116,0.01,0.15,-0.20217933522567383
117,0.01,0.16,-0.196848960269647
118,0.01,0.17,-0.18981056730961654
119,0.01,0.18,-0.18212626455588282
120,0.01,0.19,-0.17239051971667713
121,0.01,0.2,-0.1622359452615521
122,0.01,0.21,-0.15098652630214837
123,0.01,0.22,-0.138328309724133
124,0.01,0.23,-0.1256898325715887
125,0.01,0.24,-0.114401862161237
126,0.01,0.25,-0.10213344531290194
127,0.01,0.26,-0.08816921165741479
128,0.01,0.27,-0.0748223021171161
129,0.01,0.28,-0.05969949879325085
130,0.01,0.29,-0.04740856279769176
131,0.01,0.3,-0.038249549667722614
132,0.01,0.31,-0.028336601876794917
133,0.01,0.32,-0.0213140426429239
134,0.01,0.33,-0.014820229719640067
135,0.01,0.34,-0.008822404611487873
136,0.01,0.35000000000000003,-0.0038654714101383084
137,0.01,0.36,-0.000708998820232971
138,0.01,0.37,0.0011057728267684574
139,0.01,0.38,0.0010682695437932467
140,0.01,0.39,-0.0003596754984632591
141,0.01,0.4,-0.003724138854447561
142,0.01,0.41000000000000003,-0.00894533971198439
143,0.01,0.42,-0.015444576730406162
144,0.01,0.43,-0.023030712026028966
145,0.01,0.44,-0.0327317969659233
146,0.01,0.45,-0.04216521961632764
147,0.01,0.46,-0.053499878095741436
148,0.01,0.47000000000000003,-0.06585238884542036
149,0.01,0.48,-0.07990687632335605
150,0.01,0.49,-0.0940424326142102
151,0.01,0.5,-0.1092034407536111
152,0.01,0.51,-0.12296304509001466
153,0.01,0.52,-0.1372143205932734
154,0.01,0.53,-0.15079235301077898
155,0.01,0.54,-0.16368603226709227
156,0.01,0.55,-0.17585189703904336
157,0.01,0.56,-0.18539619139534788
158,0.01,0.5700000000000001,-0.1935536035188787
159,0.01,0.58,-0.2016935823189504
160,0.01,0.59,-0.2078528989656591
161,0.01,0.6,-0.21217323759722495
162,0.01,0.61,-0.21550769814976733
163,0.01,0.62,-0.21728008401342921
164,0.01,0.63,-0.21721750409444457
165,0.01,0.64,-0.2155112487280855
166,0.01,0.65,-0.2126312582725603
167,0.01,0.66,-0.20796836447464492
168,0.01,0.67,-0.20116467763241513
169,0.01,0.68,-0.19363288974540005
170,0.01,0.6900000000000001,-0.18393813138736687
171,0.01,0.7000000000000001,-0.17415187799313261
172,0.01,0.71,-0.16299959069894618
173,0.01,0.72,-0.1502640490599823
174,0.01,0.73,-0.13836528710653487
175,0.01,0.74,-0.12668483592020366
176,0.01,0.75,-0.11242686773939004
177,0.01,0.76,-0.11242686773939004
178,0.01,0.77,-0.11242686773939004
179,0.01,0.78,-0.11242686773939004
180,0.01,0.79,-0.11242686773939004
181,0.01,0.8,-0.11242686773939004
182,0.01,0.81,-0.11242686773939004
183,0.01,0.8200000000000001,-0.11242686773939004
184,0.01,0.8300000000000001,-0.11242686773939004
185,0.01,0.84,-0.11242686773939004
186,0.01,0.85,-0.11242686773939004
187,0.01,0.86,-0.11242686773939004
188,0.01,0.87,-0.11242686773939004
189,0.01,0.88,-0.11242686773939004
190,0.01,0.89,-0.11242686773939004
191,0.01,0.9,-0.11242686773939004
192,0.01,0.91,-0.11242686773939004
193,0.01,0.92,-0.11242686773939004
194,0.01,0.93,-0.11242686773939004
195,0.01,0.9400000000000001,-0.11242686773939004
196,0.01,0.9500000000000001,-0.11242686773939004
197,0.01,0.96,-0.11242686773939004
198,0.01,0.97,-0.11242686773939004
199,0.01,0.98,-0.11242686773939004
200,0.01,0.99,-0.11242686773939004
201,0.01,1.0,-0.11242686773939004
202,0.02,0.0,-0.11553182759798451
203,0.02,0.01,-0.11553182759798451
204,0.02,0.02,-0.11553182759798451
205,0.02,0.03,-0.12816845055324502
206,0.02,0.04,-0.14029499500110706
207,0.02,0.05,-0.15145307489307436
208,0.02,0.06,-0.16094324194221432
209,0.02,0.07,-0.1699307648355656
210,0.02,0.08,-0.1784509531095622
211,0.02,0.09,-0.18472557261873682
212,0.02,0.1,-0.18962138454659763
213,0.02,0.11,-0.19280256492286216
214,0.02,0.12,-0.19443849611910466
215,0.02,0.13,-0.1944074730103401
216,0.02,0.14,-0.19247569650926505
217,0.02,0.15,-0.18911490780629558
218,0.02,0.16,-0.18378453285026877
219,0.02,0.17,-0.17674613989023832
220,0.02,0.18,-0.16906183713650458
221,0.02,0.19,-0.1593260922972989
222,0.02,0.2,-0.14917151784217386
223,0.02,0.21,-0.13792209888277016
224,0.02,0.22,-0.12526388230475474
225,0.02,0.23,-0.11262540515221049
226,0.02,0.24,-0.1013374347418588
227,0.02,0.25,-0.08906901789352373
228,0.02,0.26,-0.07510478423803654
229,0.02,0.27,-0.061757874697737886
230,0.02,0.28,-0.046635071373872614
231,0.02,0.29,-0.03434413537831354
232,0.02,0.3,-0.025185122248344387
233,0.02,0.31,-0.015272174457416693
234,0.02,0.32,-0.008249615223545672
235,0.02,0.33,-0.0017558023002618413
236,0.02,0.34,0.004242022807890351
237,0.02,0.35000000000000003,0.009198956009239914
238,0.02,0.36,0.012355428599145252
239,0.02,0.37,0.01417020024614668
240,0.02,0.38,0.014132696963171472
241,0.02,0.39,0.012704751920914964
242,0.02,0.4,0.009340288564930663
243,0.02,0.41000000000000003,0.004119087707393834
244,0.02,0.42,-0.0023801493110279424
245,0.02,0.43,-0.00996628460665074
246,0.02,0.44,-0.01966736954654507
247,0.02,0.45,-0.029100792196949412
248,0.02,0.46,-0.04043545067636321
249,0.02,0.47000000000000003,-0.052787961426042126
250,0.02,0.48,-0.06684244890397781
251,0.02,0.49,-0.08097800519483198
252,0.02,0.5,-0.09613901333423289
253,0.02,0.51,-0.10989861767063644
254,0.02,0.52,-0.12414989317389523
255,0.02,0.53,-0.13772792559140073
256,0.02,0.54,-0.15062160484771406
257,0.02,0.55,-0.16278746961966511
258,0.02,0.56,-0.17233176397596964
259,0.02,0.5700000000000001,-0.1804891760995005
260,0.02,0.58,-0.18862915489957216
261,0.02,0.59,-0.19478847154628087
