,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.2554896373076782,0.15761353142560264,0.08011061888224616,0.08629433619008588,0.5823286772698685,0.8988312402509403
1,1,-0.17688081548053486,0.17743414124467033,0.04691310095515451,0.05340472974989413,0.2013988956898825,0.35426199959613164
2,2,-0.3851803137120845,0.3989922825110483,0.2942440045076824,0.317920916265765,0.6889337006442183,0.7410935970231683
3,3,-0.07180939494560999,0.1671525320987028,0.09781558933309546,0.10372183492586264,0.11853054638821839,0.8111491162382499
4,4,-0.14980508436832538,0.12779041284154538,0.07275153991658921,0.07936924410833446,0.17093942499597395,0.8851003305547878
5,5,-0.1256592817427958,0.14895460897827828,0.0769806356779258,0.08310081188426041,0.11428111860758552,0.4179570381293638
6,6,-0.16336500910383756,0.1327045156191748,0.04598672823935514,0.04953323749634459,0.05145678752074968,0.850667692333286
7,7,-0.05695945801334942,0.15156755406190656,0.04008129011088625,0.05064881161896186,0.5640008622592334,0.8253235397506036
8,8,-0.21234767793887271,0.17957950610115503,0.06004101720559686,0.06392826480873862,0.11099558731117057,0.4258085122493135
9,9,-0.15284011339669007,0.12261607989808866,0.07201716348420896,0.07866740005568135,0.08034189197718679,0.9314091616418728
10,10,-0.24373701792794591,0.21654783395004756,0.04730100685551423,0.05840337604772066,0.20720821616227642,0.959629499925034
11,11,-0.12541192400307943,0.1817014238238025,0.0691526565498874,0.07486374842725332,0.16717489141793698,0.9772712756470849
12,12,-0.13095090053675965,0.1632758938844602,0.022574024299194088,0.0355329183864343,0.059365750313428736,0.7832864476958403
13,13,-0.0376994239618096,0.2409942997647127,0.1312180270306249,0.14004086231995264,0.15193570850826846,0.7242102322893466
14,14,-0.26511590581791017,0.27145658713004045,0.0731890297551632,0.086225090434533,0.11406497318050937,0.8065802115516136
15,15,-0.18203687896739773,0.16122678385024863,0.049427352632439324,0.054501812156427444,0.5857431823389415,0.8716356928739575
16,16,-0.22100089068070902,0.22036823501517228,0.0745026291369656,0.07765839162228856,0.1200867524228976,0.8969748324300822
17,17,-0.19007835339154322,0.16090982874001147,0.025791803673810395,0.03551653332102219,0.13315505015046994,0.40989156205136557
18,18,-0.18006775958255714,0.19595650854340368,0.08275506570745504,0.0895277700003726,0.07771845911241539,0.8145287777335116
19,19,-0.11181806024942148,0.14435419403336847,0.05738493432675902,0.06258309320562089,0.1375392906259121,0.2671284031388588
20,20,-0.0681128429679526,0.16717220760245738,0.0950257429051846,0.10046006721584694,0.20045291920295966,0.3908624365173494
21,21,-0.1795124782759976,0.17105128663529923,0.05477717156064923,0.06018216298186791,0.633947256349287,0.8091698849540202
22,22,-0.1265548593237079,0.12179780714360643,0.031582660522530226,0.03836328311398885,0.15291186366496237,0.38377558189414984
23,23,-0.20588933663559417,0.24209875910874395,0.1139543681610934,0.12213760482222784,0.6803314366737084,0.7949298993951286
24,24,-0.23867639737425345,0.2493402922422288,0.03473471088013165,0.05075683028296637,0.1210946818716451,0.8653304899077039
25,25,-0.1752740530405694,0.17963460673707338,0.07008749111102038,0.07549839881978727,0.12361875966470084,0.307784066290064
26,26,-0.14265899246404629,0.12367564915817014,0.029476941643936987,0.03362481711148197,0.12774874130893124,0.8523419183845496
27,27,-0.1369259855070674,0.13264519480363665,0.06646373919535933,0.07140068209448212,0.18915784473627756,0.9428487368297193
28,28,-0.15428569817994728,0.14607512042592377,0.0667811365576235,0.07264867437663336,0.1284929335920411,0.8108751133274966
29,29,-0.23057483324852793,0.16656578761615273,0.07542292230357901,0.08162087705665673,0.06772532678075673,0.38081565106965143
30,30,-0.14235111025191188,0.17075747951630726,0.03684694039534606,0.0435391272876803,0.02767290270166179,0.4439147392360481
31,31,-0.09982335924106797,0.2567424295995485,0.16955722744101295,0.17981379940652573,0.08845867909824624,0.9488574906139875
32,32,-0.2899209401211563,0.25923647997636756,0.1533100145393121,0.16542364776520233,0.6586812510181578,0.8464817453051613
33,33,-0.2083548300118477,0.14243415067302925,0.05778193904912808,0.06375626772060311,0.10267909489634322,0.8467494655244618
34,34,-0.21508335882037938,0.19497814807311104,0.09842283955372932,0.10375335954113278,0.11936627338100084,0.41983523009211265
35,35,-0.19526300268177332,0.14329987353234944,0.024064267332549863,0.03134770330140751,0.13470275699903136,0.42663437052000397
36,36,-0.10898838418007756,0.12838706895812874,0.018497746870096147,0.028826648950789808,0.11084561929120743,0.31816940732704896
37,37,-0.1364646285312231,0.12309559607579909,0.021813045187557188,0.027337696237654908,0.12546519753194488,0.3470583963465968
38,38,-0.16996209258427697,0.13514268710440527,0.040527877615993274,0.044765762121657546,0.12912867539655684,0.9179677916950185
39,39,-0.1461828940603767,0.16782847985425792,0.07857314259921205,0.08708024676308711,0.15885858886934992,0.955891292004962
40,40,-0.17625937038644202,0.14875628611481778,0.01624696387808198,0.025468298589011992,0.5817242532168609,0.865233608599571
41,41,-0.19034118434022892,0.14672871093952677,0.05961495623277269,0.06426757527314067,0.7207960537313397,0.8661004461832386
42,42,-0.061847538396945345,0.16649698072879424,0.1129279651909232,0.11791955730043356,0.15504466665602182,0.9975972922090655
43,43,-0.1463003388392688,0.2735026854200352,0.1823027121574077,0.19621781705261915,0.08726186100693302,0.9374747695265655
44,44,-0.11078777723398113,0.13983796684478528,0.049358792216703556,0.05443717087508164,0.6346978172591671,0.8470498138758042
45,45,-0.1336955155037785,0.30050010536010413,0.1867079968487228,0.20356026234219898,0.04676434920981654,0.7660540683267375
46,46,-0.14572204224917817,0.10371871759711,0.03894223049099477,0.042745389110304295,0.15852058530592275,0.8934108550396374
47,47,-0.07099345114665413,0.14946536569988741,0.10282513440245063,0.10545923447574296,0.13373804365225797,0.3272190723050599
48,48,-0.11374472363192414,0.1839938747933581,0.04732976178135596,0.05445417838041166,0.1360651424919497,0.9278883180870863
49,49,-0.18914027880597678,0.15301373986407452,0.09713754426443355,0.1060100936192419,0.061626181019438966,0.2816897084647904
50,50,-0.17409078265421896,0.19779435661207748,0.033698703896804294,0.045064051263647195,0.09664943687399355,0.4307467522593533
51,51,-0.20937790172381288,0.19161113808221375,0.08973797236325033,0.09442958009428061,0.12169374929511959,0.3841523924454654
52,52,-0.23222220813623684,0.14657768388510403,0.09155052622073057,0.0963249455760962,0.20045701259823284,0.40201796119695554
53,53,-0.16440199931264612,0.11361098822947646,0.013965042359125643,0.020043159731314056,0.5986092238784209,0.825708794026795
54,54,-0.21790053101342072,0.21731936910012084,0.1218318995661016,0.12846299703501593,0.1394494691148717,0.3016033295600901
55,55,-0.15402083185078416,0.11324469674708279,0.02418208186698578,0.03113147405185333,0.6624927146358451,0.935213932828886
56,56,-0.11428467612437429,0.1035792823758575,0.03743351617789186,0.04162296148968775,0.5221377755487407,0.885357089946057
57,57,-0.21768094116624362,0.18972348502747566,0.061307968038268795,0.066428766754033,0.1743199527447882,0.4197787638748486
58,58,-0.10981120419781966,0.11464939086939395,0.06556744232654126,0.06928019798067771,0.11338202371043818,0.40780045360394124
59,59,-0.13118025548481643,0.13465134920544808,0.059617723261391864,0.06415149702194868,0.09420076285734072,0.35170914405078685
60,60,-0.2252551293719694,0.2968973287245536,0.12112139013764907,0.1253418238344259,0.2052557938921627,0.37916965010997095
61,61,-0.20187788332079687,0.13920897465234186,0.02861798422745441,0.036437856732683335,0.17745993191768453,0.31201380755375413
62,62,-0.15829344548918567,0.10715231921781554,0.01779123002754706,0.0287851303399002,0.10697487438254541,0.40915557803277647
63,63,-0.196616770672415,0.18616157712691794,0.06628058049715846,0.07292798352215146,0.11614737123133892,0.9457906265772466
64,64,-0.12262255786985249,0.18962910058732535,0.1171397675696464,0.12521268128462723,0.08856146824315216,0.8751087516650072
65,65,-0.11846885300075671,0.1484652398945805,0.0610225330322659,0.06649832185823573,0.05996515326840425,0.38028272775836225
66,66,-0.1075491152240386,0.10791174169219866,0.026931961623127304,0.03377513333623326,0.6951055336423178,0.8152355236001415
67,67,-0.11777709694858977,0.12542980616857916,0.05058230453967518,0.0553654864292996,0.1311840865153633,0.43961371089237744
68,68,-0.17750825293636865,0.15633399902381306,0.01767890088812851,0.028740901276652485,0.1380089760470045,0.35586081450726553
69,69,-0.19508752018943698,0.20683131674224103,0.07014127516269798,0.07585386943776087,0.174132200303214,0.4329317771347443
70,70,-0.15120047450087806,0.12316792971393695,0.039603112468028716,0.044124885790699515,0.14078879229646749,0.8077776800018672
71,71,-0.11888122286309956,0.12668213653933794,0.02022971646918023,0.02756136660346752,0.11318577641125097,0.38173798982517027
72,72,-0.1695973491092329,0.1415121838061462,0.03558298187251729,0.04036919855580113,0.5818300324749721,0.885998430079121
73,73,-0.26860362596620435,0.1667388301322491,0.05504898865054652,0.06128761378797852,0.08908018325333024,0.9180397823654067
74,74,-0.23530572386982207,0.22079289480028824,0.11280865312408024,0.1192554664552615,0.1257885253016298,0.32527473134528223
75,75,-0.13121203851290655,0.1640207301139665,0.08774482883364249,0.09215216132791249,0.08291163351688126,0.9105492565393054
76,76,-0.20255430080746062,0.2183178713545889,0.03877909696658321,0.04839952397802492,0.09328357523141152,0.9227009433807019
77,77,-0.1587380756856655,0.1659432262568292,0.047364553065395526,0.05566209014201253,0.6176746897818529,0.868780835733005
78,78,-0.18543870378634986,0.13172444266782826,0.05526265775487727,0.061613979354213554,0.14148220864138175,0.8457703170654793
79,79,-0.151511791724847,0.11611580135334112,0.03749006824474769,0.04163476576082586,0.1537383018977502,0.8926751577280319
80,80,-0.1665221367536913,0.18867830778606345,0.019927260541917683,0.03353575119860257,0.16705264327496008,0.9047716951012081
81,81,-0.07385875560783989,0.24192511982217965,0.17242092813548243,0.18103190538558264,0.023266267772361186,0.8477107953757864
82,82,-0.1689654781685918,0.16692796343350674,0.03894259871329607,0.04397401073950729,0.160678271724813,0.31540433185907363
83,83,-0.15750983457978757,0.28695743397945406,0.18902581605214797,0.2064091520153863,0.02696112135185836,0.8845963741392762
84,84,-0.1680606038666785,0.14686043137937627,0.04908099285750308,0.054388252017272404,0.6734789468290101,0.8125132767323752
85,85,-0.14985823258467612,0.14552922644258853,0.020035272819413166,0.025955224729615232,0.08300939693989175,0.36777121857084477
86,86,-0.1171091812126486,0.2696473061357387,0.18499701066526078,0.19383794709543312,0.14050565342591817,0.9631229975087275
87,87,-0.14687850868549068,0.16673541639445974,0.059719974854020946,0.06690201136393487,0.6344294186544633,0.8790444694312664
88,88,-0.15309003034861168,0.29027946204790195,0.19845644385835334,0.2135264065103869,0.10272176544588643,0.9760905418111512
89,89,-0.20232903722526902,0.17321403012389525,0.05097254057711709,0.0570161936088673,0.6136054184493651,0.8552646608741206
90,90,-0.16695663965078225,0.13387890037624262,0.0381650230231932,0.04437562666157471,0.1372240870604539,0.9157488263491665
91,91,-0.176166334666647,0.18059832691942718,0.08753468288860897,0.09569356413638992,0.6435540321930749,0.7917709908927882
92,92,-0.2175939172597341,0.21138862962262328,0.114066945142019,0.1173221038002077,0.1671331062926801,0.36563466062005695
93,93,-0.06880655871725568,0.22060204975386857,0.10948550899471446,0.11320776412534828,0.1356746188587961,0.38300636214206596
94,94,-0.1410899226990904,0.12044889345827225,0.021138217877432506,0.034978098367785475,0.1508718573121365,0.3810681300084596
95,95,-0.19279259337015187,0.20186202421957739,0.1023485325823538,0.11176490396091966,0.183984946236092,0.8981918047046552
96,96,-0.1855980589052915,0.17149486999738395,0.06926522063489172,0.07457531197956013,0.17531643906684294,0.3634298352152972
97,97,-0.21582965833139,0.20450805697228244,0.060061632924512075,0.0645292068204729,0.6540956964039873,0.890895054239778
98,98,-0.17660629435731684,0.14321001479242987,0.024166887575292735,0.03544674465560917,0.12857043639015311,0.37468760501998527
99,99,-0.2521087803848373,0.2099534796955063,0.12401970805003418,0.13175404912727776,0.6563635680870296,0.832072462829433
100,100,-0.2412419221468043,0.2262346548827801,0.08522556167087951,0.09326557190188695,0.07784597366705916,0.8504344131029216
101,101,-0.15631204202991253,0.17174158822215385,0.02526077975448644,0.03459179441730211,0.1017370112602303,0.8128961807766084
102,102,-0.19123376393312788,0.13793620387645528,0.06508929492852235,0.07015421826711642,0.6727494005564062,0.7954971688497119
103,103,-0.2319160372319105,0.1566815305394259,0.02459290418643577,0.03668710915284631,0.12692229582313966,0.8941886017459408
104,104,-0.2866389951343846,0.22986318846246812,0.1129557959938095,0.11856630393344854,0.5771557124990139,0.829048131977213
105,105,-0.21839975522895813,0.13528362157630064,0.05414601659353174,0.06041996385477507,0.6050024077404134,0.8977928482190779
106,106,-0.21282285215593005,0.16849991983179569,0.07859868252597153,0.08413217507308715,0.14992000575477274,0.31185125986920087
107,107,-0.25279182823035284,0.2743453552586761,0.12453753939500797,0.13285693020392145,0.6789459595841252,0.8592179563082312
108,108,-0.15244506595783577,0.1661688984443763,0.10457164542537171,0.11322924255014577,0.09385916573861,0.8453619517218296
109,109,-0.09808159863554713,0.1424540484359768,0.06163144101342923,0.06527566725071193,0.6404138778367279,0.8273639227451458
110,110,-0.18380027117398656,0.13207625423296754,0.025893750952617832,0.03399998198582723,0.10000442541757606,0.34891264074481315
111,111,-0.07308191463294447,0.15154102987812687,0.07532850158669237,0.08122744905778662,0.5713802699405892,0.8534132120701838
112,112,-0.16307581606365026,0.12746756311289292,0.028843584240575752,0.03635218450482315,0.16705388095586307,0.38334805643336356
113,113,-0.1427202164398168,0.23308736833218754,0.14803376801487822,0.16063599115240382,0.14261619398523165,0.8470746213160949
114,114,-0.1612901426913659,0.12585795486640458,0.03991941320309608,0.04591482300593244,0.054104826168157386,0.8175342514571057
115,115,-0.22357076469127235,0.21852623206920804,0.11682130069881304,0.12196928024174,0.6765573670911877,0.7719982097031153
116,116,-0.1252084099148921,0.1372034108614192,0.058465128320576515,0.06418404808604904,0.1963731488284674,0.3297890648936496
117,117,-0.14562044053838538,0.19805705600459006,0.02313851442177515,0.036610730075649384,0.1963004646802991,0.9716017867594205
118,118,-0.19313050016111247,0.15201112442710263,0.03767892029164361,0.04447034202049144,0.6218004789837803,0.9059934225536415
119,119,-0.12068095476302036,0.15271023960219368,0.06757511035644144,0.07387912065905018,0.17461602099439846,0.37353174343475487
120,120,-0.1507639862815169,0.17086641846794243,0.04012140262431243,0.045418712282627983,0.5621203465172159,0.8863638820152892
121,121,-0.17728589750961063,0.11726132045636822,0.04106098281794833,0.046115295128954105,0.18884847482531514,0.36229472723178885
122,122,-0.16955862486970022,0.11061726078978368,0.02117311619176089,0.02708392656344099,0.12881866266875666,0.36831928682168985
123,123,-0.23344260570843295,0.18262166947460096,0.1077246669353812,0.11784325236879153,0.19333057891706223,0.35957799388009476
124,124,-0.1427873872570395,0.16314905683787378,0.03532037464891173,0.04452023502821259,0.11674250400713529,0.37690879772066455
125,125,-0.2266341951179241,0.17396904227018808,0.07986527744843105,0.08784703836570158,0.1298184496940066,0.8995519265741595
126,126,-0.15510790256984186,0.1366667447712886,0.021145789814694057,0.031529186081779084,0.07528393374494281,0.9173559212839844
127,127,-0.2427218903707969,0.2655615753343221,0.13062704559468777,0.13368451253892993,0.6167380459602221,0.9063331674354758
128,128,-0.22764208570582017,0.1562099233447197,0.08902120721739325,0.09420657816127462,0.6702888820348932,0.7849972883687979
129,129,-0.15998302147489868,0.11422259901907078,0.03181290515358399,0.03556842582652962,0.5735508622293346,0.818499521468343
130,130,-0.17002231434979004,0.15375831591286332,0.05409925307544866,0.058334729932268604,0.11154075363680263,0.9423010135453553
131,131,-0.14031939017761305,0.18788867937800668,0.033546381157266984,0.04550105194932349,0.09913314352512861,0.35431021790661804
132,132,-0.21093358436178702,0.2616927165394461,0.103267850439203,0.11455741875845578,0.07360545480211124,0.41314967802207003
133,133,-0.14883502453144556,0.15176350262869331,0.05955570995196059,0.06453968726367136,0.09937136298441043,0.8832042552735947
