,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.1661537373049715,0.13018655433141227,0.03257906432235598,0.03686224941620114,0.0719669540462783,0.8515220659391889
1,1,-0.1943837229378123,0.17943117838399156,0.07111488933924515,0.07618723796290414,0.14677826247069806,0.31047430198139897
2,2,-0.1098520014192492,0.10588181699368165,0.03944053759854787,0.04343119120950598,0.5546124313421849,0.8797345422205523
3,3,-0.18232812212118904,0.1209579354154875,0.01982036380446518,0.029583347738203782,0.1370609804588875,0.4007741535910051
4,4,-0.19908455450032148,0.16845034994247926,0.023293950272357946,0.03311433395912413,0.14019931480385409,0.8890748212198512
5,5,-0.09544229590405338,0.16296792270770066,0.08707092904376633,0.09251431354640823,0.02091472800762773,0.894672053492069
6,6,-0.10546420290026892,0.19287900224287882,0.08768840642585293,0.09761318112309376,0.2593229972350877,0.886276770532258
7,7,-0.1419937298855193,0.1506294511060279,0.020155479080981906,0.02818769043192652,0.1645138660413649,0.8138854460780185
8,8,-0.18582888505739814,0.17961979058086447,0.04357092728730562,0.04875401063384949,0.16107118327560468,0.8546283915731799
9,9,-0.1254127984389434,0.16183854677157275,0.05201896326674663,0.05945369269223614,0.20065267542191284,0.8824290601616144
10,10,-0.08364198786016755,0.22485628336473124,0.10063494247676455,0.10780631767327567,0.1401224463333959,0.7931812013357656
11,11,-0.13793912084916696,0.07944070662106831,0.018418702184088913,0.02141974816452168,0.6624413901543279,0.8300395764841096
12,12,-0.16965699012823746,0.15826191925161212,0.03747229863057124,0.04213971723887257,0.06431949649122794,0.8730910387053675
13,13,-0.20150265019591987,0.13997313075764312,0.040001373606532296,0.04587256316629133,0.15211610676835555,0.8569335900514996
14,14,-0.15064419327470757,0.1409387756132453,0.07079564238782997,0.07799250869036559,0.09597263105592616,0.3037584757387118
15,15,-0.14971147237997479,0.0926618360228334,0.0199704432836801,0.02628836127578184,0.13556821922436504,0.3789490237700073
16,16,-0.16793002361195045,0.14613525473005118,0.029749819814514487,0.03927312898161215,0.042565381640471196,0.8820820196096817
17,17,-0.1639042722827561,0.15395093918531616,0.05464106366576656,0.06055530651044169,0.08015432328924511,0.384422028376569
18,18,-0.09411954975545171,0.20643755923293794,0.02842626624258028,0.046276243967879466,0.6461774758498315,0.9238423917581337
19,19,-0.24372348540229952,0.17337155593733097,0.09772918183125408,0.1042601585069157,0.10471765445367634,0.3738678456369539
20,20,-0.24643302297361,0.15918887852342925,0.07294875526936075,0.07912407679427562,0.5935250039843186,0.8321991120009807
21,21,-0.12683196246692274,0.11511716351244612,0.062481171609093736,0.06656222295935783,0.01932072325702328,0.9143319553437725
22,22,-0.1410580173940173,0.10433824230245207,0.0198224540958738,0.02370015480971101,0.12413534262802142,0.4187291481583386
23,23,-0.11984632501089582,0.13942308331420997,0.045239471571580675,0.04967960464284503,0.07727432538463631,0.8787435091695064
