,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-1.1547450987364156,0.12077996846062045,0.04380885488314267,0.04936266535189246,0.7930850322190811,0.15108253836545085
1,1,-1.1507979463318425,0.12708788481291466,0.027650007360650604,0.03134563804908403,0.26956775682371875,0.23362303950294544
2,2,-1.1509248653527737,0.06595696771907078,0.022233944148998284,0.02586088072623652,0.968297639228057,0.2399951803280463
3,3,-1.13225598902666,0.07879219143304828,0.02107818659176243,0.026181947564712104,0.9759177970839359,0.7681753194113415
4,4,-1.1152205866712266,0.09411878633870419,0.018328281802168493,0.02595051891691359,0.7823686776530252,0.42062610345729257
5,5,-1.1082914768184315,0.0658408099477068,0.018644974673501076,0.022621158367044328,0.24968470942542803,0.1831483963914642
6,6,-1.1493292453689412,0.13836228268016604,0.04155481953990019,0.046857014250927344,0.7509345667587162,0.6077464148088885
7,7,-1.1421080866655966,0.09030493760108704,0.03876241415760062,0.044301359878754665,0.4144444973604403,0.35538248004495004
8,8,-1.147560979454691,0.11631020923414503,0.030730438280609715,0.03597484430843058,0.972436205139672,0.14458114694119376
9,9,-1.1187001447397351,0.10810089500162667,0.018425526653266203,0.029469854682126397,0.043858186475732704,0.023569094785751317
10,10,-1.1540848932046461,0.0917284358421957,0.032432974759626566,0.03474550239768595,0.47553209310256783,0.40459123769259453
11,11,-1.1570982341237381,0.11601171030248358,0.0368173046334738,0.03972136419179953,0.13537908492684628,0.1436111407323906
12,12,-1.1380585033441917,0.08594388613882598,0.02529699757070213,0.028614085981077838,0.7065319830980858,0.44662675512853844
13,13,-1.1661762316849873,0.10503805221633311,0.05731865673673001,0.059750842884499444,0.20505735723292967,0.16619726431843554
14,14,-1.1609820436184626,0.05236646041707438,0.030552008193555705,0.032754978849155264,0.7506074902050167,0.0037349355045229746
15,15,-1.126531710404009,0.06424953299791891,0.012688409142773,0.018490997744279196,0.1126389298935491,0.1164976177866466
16,16,-1.1272835985840277,0.09418494919830156,0.01651305277797102,0.02305533418944205,0.8857751367351522,0.7600386414717081
17,17,-1.1294667473480235,0.07699266267631599,0.019234509885354228,0.025472033108353557,0.33585632794395986,0.33708018512219234
18,18,-1.0622639765941384,0.1034010807901451,0.047676644282439395,0.052088134425744115,0.6522886415945668,0.024154473528030025
19,19,-1.117344130177839,0.06871661569013554,0.010949789148924,0.015621242577922639,0.6188774770212819,0.2116283007516327
20,20,-1.1356943302423883,0.11914113777926238,0.02409132674108557,0.033377813447678574,0.8847812663943924,0.2820961016387085
21,21,-1.1925399820637437,0.10051316066548743,0.05818868499296937,0.06171832203872666,0.3461600682459,0.331818584135866
22,22,-1.147380390008014,0.05606554546138287,0.022485654131882686,0.025119103590670135,0.9964766229808519,0.5112881104194578
23,23,-1.15270657686599,0.07717683392412678,0.03287183051184078,0.034723302612311414,0.46640851641052083,0.31304137412761085
24,24,-1.1130777939987946,0.12877434692505396,0.017819353084494075,0.025178147662554638,0.6929712501268104,0.5074132051448255
25,25,-1.1762975296966058,0.07154281904434345,0.03547779207404449,0.04185029311421617,0.581546182323862,0.19158284798732245
