,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.89040853429565,0.13496135288152267,0.02286884792305313,0.030134058625111343,0.7930850322190811,0.15108253836545085
1,1,-0.8790789223874792,0.07717685434366406,0.01358487672278353,0.019086375107398888,0.26956775682371875,0.23362303950294544
2,2,-0.8799124733533231,0.1208243217486481,0.012607547109764708,0.01713581113218609,0.968297639228057,0.2399951803280463
3,3,-0.8743186191777624,0.07286030712925406,0.013698729024763944,0.020346596429020727,0.9759177970839359,0.7681753194113415
4,4,-0.879763455166157,0.12302421358163518,0.01581162286650636,0.022084806939787864,0.7823686776530252,0.42062610345729257
5,5,-0.8712659767406269,0.12824058106698122,0.011137894623466154,0.01731125178549469,0.8268522950961941,0.9977783319325769
6,6,-0.8872141013827631,0.08846639267266287,0.01829443997290229,0.02196048311332992,0.7509345667587162,0.6077464148088885
7,7,-0.8832955857508462,0.0911411404742718,0.017814317393268827,0.022298606453543472,0.4144444973604403,0.35538248004495004
8,8,-0.8852763035263972,0.07832661823398557,0.01687983847713682,0.021401174843479576,0.972436205139672,0.14458114694119376
9,9,-0.8729815407533842,0.07567734317110208,0.013565410660962611,0.019353925978756653,0.043858186475732704,0.023569094785751317
10,10,-0.8752289638421574,0.08335023535613381,0.009356089423678554,0.015574199492790083,0.47553209310256783,0.40459123769259453
11,11,-0.8815508231999641,0.0841890405959321,0.011531636624542891,0.014902898699489957,0.8639906183992881,0.6382380464760322
12,12,-0.8844370047049699,0.12284075515622273,0.0171057973701517,0.024241599173614927,0.7065319830980858,0.44662675512853844
13,13,-0.8952598160422384,0.15415802950291835,0.025241974853070948,0.033413574599399344,0.20505735723292967,0.16619726431843554
14,14,-0.876731381109079,0.12292660020448554,0.011841752987503559,0.018129708918825798,0.7506074902050167,0.0037349355045229746
15,15,-0.8838354679478924,0.08366319760589067,0.015240468135423216,0.018710108257703275,0.8233181095558229,0.9802157269034482
16,16,-0.8811835701271359,0.11535380767128944,0.017431624821676935,0.02576747341670489,0.8857751367351522,0.7600386414717081
17,17,-0.881800418095141,0.09916993955841369,0.015090346590259719,0.020661891336364948,0.9411468773675213,0.23414731784325254
18,18,-0.8482248779110674,0.091954011476025,0.028120626548385257,0.032377060743095314,0.6522886415945668,0.024154473528030025
19,19,-0.8782009014944736,0.11146255306288222,0.013296758404312818,0.019163689186864147,0.6188774770212819,0.2116283007516327
20,20,-0.8964259239506013,0.08325180979647989,0.02361074401159693,0.027331086403038208,0.8847812663943924,0.2820961016387085
21,21,-0.8925298595467223,0.07539178544762515,0.018740014156004004,0.021406084491878516,0.3461600682459,0.331818584135866
22,22,-0.8701870506492957,0.1483658118264356,0.013932869020399303,0.02251320757746163,0.9964766229808519,0.5112881104194578
23,23,-0.8834515319000725,0.13317435218177398,0.016981798942366687,0.024032295060906764,0.46640851641052083,0.31304137412761085
24,24,-0.85484379663378,0.1419771094393295,0.023920635152955942,0.02897049302545406,0.6929712501268104,0.5074132051448255
25,25,-0.8884091058024165,0.10586113572328232,0.01824964068456511,0.022203392797073503,0.581546182323862,0.19158284798732245
26,26,-0.8639770573396379,0.10934817692456467,0.013911480870835612,0.017717225943688606,0.5147126577394875,0.4839728430920863
27,27,-0.8740844999708866,0.1013800095467284,0.012276795488006377,0.019224652884138656,0.8720419988101588,0.9047259180347894
28,28,-0.8904561401933723,0.11657429158919375,0.021211525953096118,0.025816031933472382,0.8487035993482895,0.03160553654137722
29,29,-0.8748559522017308,0.09770244907995196,0.010067916267430067,0.016341852655920502,0.24051957864104784,0.054220877544847404
30,30,-0.8526679454110219,0.11708039517530555,0.025523905294608157,0.03154865308309903,0.7592986940041323,0.6321118889118483
31,31,-0.8750934169317173,0.08281275385918882,0.011766037207359257,0.017931176625139798,0.5186827005121345,0.26648475344770656
32,32,-0.8626090935692378,0.07809103689612573,0.017310134164721283,0.021755192250716857,0.30315227524100036,0.24781940496064997
33,33,-0.8803887830038362,0.24348412959037458,0.019776049389354507,0.03486453006881143,0.7720470283387095,0.023142243576088187
34,34,-0.8797485824518492,0.14127472582540268,0.014556958231661766,0.02089119694862797,0.4779714345282846,0.18115297697175795
35,35,-0.8866090702402316,0.10306933168120289,0.02206538723571622,0.028547098985265924,0.6936178251555681,0.11619466170068363
36,36,-0.8690556332278927,0.09753099019986364,0.011549492596565548,0.01677563390986168,0.9262287382889538,0.6502492052532469
37,37,-0.8826938514472797,0.0993544105332492,0.018338107614686787,0.025417822991633966,0.3720443127910403,0.08373185738684931
38,38,-0.8689149517655208,0.07448501757021231,0.011035476352055372,0.015257668539322117,0.8681920942580893,0.7265361651598381
39,39,-0.8544212698895886,0.14356179583517392,0.022427489059863123,0.02712998668922431,0.7474814856558393,0.37957229840387274
40,40,-0.866060817134831,0.169537169626656,0.013137899592383675,0.020621283026050537,0.8847927936508061,0.42792412453780804
41,41,-0.8863295264841174,0.05687945260613547,0.015396713508546373,0.01846640581531796,0.9912939163623782,0.8918910777914228
42,42,-0.8604900333244875,0.13731439933808698,0.01744043384384194,0.02272159890799512,0.5163830128064677,0.4263062037837816
43,43,-0.8652385853708147,0.12484755592172933,0.01714971691539561,0.024056713692738804,0.8918156945911172,0.591035281036828
44,44,-0.8835909215662003,0.06472476201671803,0.01444874626347045,0.01783076860293193,0.679033065911905,0.3170344382067422
45,45,-0.8576947030028963,0.1527253584657915,0.021600057551236656,0.028019437410577292,0.5863933637727592,0.1618487844753637
46,46,-0.8625011343459118,0.13660069988867118,0.018632289063424744,0.026137845187240327,0.8700550877452226,0.07696395015100034
47,47,-0.8765530013186917,0.06374025084219259,0.011512746458851702,0.016477329762514092,0.9199561535645439,0.8155209821610844
48,48,-0.8660759325751064,0.13847780480643643,0.016341420500254975,0.0233846799338805,0.4262688718037291,0.140293102389379
49,49,-0.8619611283121144,0.16280071566434437,0.01976503131131324,0.029048033497869857,0.9945927320371637,0.5748992815544322
50,50,-0.8753570332983241,0.12692817568769865,0.015423355884861843,0.02393294784040699,0.9792412289698955,0.8715049463016741
51,51,-0.8695338262423288,0.14235669844451426,0.017827416190808684,0.026504999195053267,0.8651026294199354,0.4012661408257243
52,52,-0.8872364905293544,0.10551995704509473,0.02425920772558306,0.029801295791927532,0.5541758118602912,0.41406128458959224
53,53,-0.8681168482849019,0.15054815980719394,0.011482044363191753,0.018142385596713894,0.16118036348731316,0.06065535026977188
54,54,-0.8606015779785439,0.08129421888174271,0.016640452644385458,0.019654741933795825,0.43742852324992754,0.13555775869525946
55,55,-0.8847332714624345,0.07030577198956844,0.013538360005010052,0.01685295414231492,0.7262105042817981,0.5779448227708226
56,56,-0.8570243477226579,0.11828586743013603,0.02044465350382806,0.024987672838174418,0.25630835680419023,0.2075013418928467
57,57,-0.8965654699465426,0.09259687395169014,0.025130161979358384,0.029041981107620855,0.4810292313927448,0.2797357198637153
58,58,-0.8709518968417407,0.07231599048970605,0.011734091863247304,0.017065788954955502,0.6280429074442812,0.22518881164443866
59,59,-0.8845157498022392,0.09503185870235586,0.019921416805105615,0.02550129723584441,0.6514583729600422,0.2020788380740109
60,60,-0.890504748884664,0.10329102665832032,0.01957380960779807,0.023420589823134372,0.33839964575398934,0.16237256976510386
61,61,-0.8728008165334655,0.11377729888413268,0.015523542372362921,0.023498266638085883,0.3230536743072004,0.10413600668942416
