,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-1.0275425689696696,0.09948128025744724,0.03571071476966511,0.04058239417457587,0.7826359101882421,0.5741927924832595
1,1,-1.0169057588127597,0.13303257248770417,0.028785637815727363,0.03482493713567626,0.5614435666547793,0.17053591871339205
2,2,-1.013503448485169,0.09390845655564116,0.023559195163557315,0.030976215210591053,0.538264793836985,0.14667646388525038
3,3,-0.983911293194168,0.1274821651724245,0.029501165930832213,0.03835702480569604,0.4233478059146256,0.4161187762999575
4,4,-0.9712203289455064,0.10832970432660427,0.027397425147031557,0.03156619152618093,0.6866523851082087,0.32185553514016324
5,5,-0.9995169642941142,0.0560360327236864,0.011822166682005662,0.016208459812323963,0.4651304176634766,0.06772288171572584
6,6,-1.0401685499173254,0.11471737022605277,0.035837772940946255,0.0400245202918862,0.7352839486124702,0.4803114500423912
7,7,-0.9781736311327829,0.1078674855621109,0.02457174660069285,0.029916484768553266,0.787036659588441,0.3220678753696182
8,8,-0.990109932002682,0.1258454534064526,0.01572586319249465,0.021574524176505835,0.5771548975143894,0.17609410999050903
9,9,-0.9860290836140209,0.11298798189028947,0.02797285337785575,0.03807904603780961,0.8670413807067391,0.13090668192895652
10,10,-1.044514387214324,0.172060974851454,0.05916504020133769,0.06539341331911752,0.8249694721223977,0.6344460545171738
11,11,-0.9992892016752615,0.08153644641248813,0.012075034622252888,0.01817940573522499,0.6181720064379672,0.4407543169673811
12,12,-1.0172230576310988,0.13437528503456783,0.022581089468217828,0.028141332838641227,0.30530931380227894,0.30750051412280516
13,13,-0.9689755201131641,0.09624076819683469,0.02956070745430397,0.03297321083419779,0.7134509830688652,0.3666448426165279
14,14,-1.0290273463049329,0.11112159164966484,0.032876213847747866,0.03722799037917069,0.25692522575347426,0.14715654851499574
15,15,-0.9780607911448678,0.07283566497680449,0.02313098389805315,0.02692626088165191,0.6355817075746425,0.0900210931029415
16,16,-0.9989969750159614,0.08201007095564061,0.010892317862663035,0.0158804966446843,0.2786879716158052,0.016571914517909406
17,17,-0.9676699031356231,0.12472200292367286,0.040661519712345495,0.04727081758941851,0.4452765061627346,0.24940852167065458
18,18,-1.0419938118127015,0.12865417436765056,0.0540441083135702,0.060939331174927815,0.6976007631088172,0.052321786581814536
19,19,-0.9987007459764461,0.15968543480682373,0.015889011636145988,0.027665919808989192,0.1873391611505885,0.04651070703662231
20,20,-0.9753862489715189,0.1153682648520939,0.03963290742619129,0.04843641275065882,0.5572539235578781,0.022049312919041778
21,21,-1.0089711926810019,0.04888331811891433,0.014211371824422335,0.01667338628631493,0.7587734077908116,0.7012401282711146
22,22,-0.9985055738370724,0.19426337416414863,0.017354471757241544,0.03074375702936809,0.40130317626855194,0.18753925961663725
23,23,-1.0263496682200612,0.12447219919284236,0.039268526211054915,0.04318128898839565,0.4418040467501252,0.4246443801746701
24,24,-1.0427690018720004,0.10096490567624467,0.04495713910900659,0.04984831346687245,0.3566355060963175,0.11757293177681452
25,25,-0.9928229809867009,0.098854698099484,0.01525657130667805,0.020992709236726408,0.9005748894717786,0.5678495563644387
26,26,-0.9706878520865561,0.10003809084117576,0.03426471015161758,0.03943372157731736,0.5950531127359592,0.2636247054974728
27,27,-1.0301715896205683,0.08355710401264149,0.03327713985420447,0.037766378651757554,0.1484764262569415,0.09834619325069685
28,28,-1.0050244947726537,0.10663426040493727,0.014607787410982688,0.01966501990851291,0.38085705123698976,0.04060816202677709
29,29,-0.9640652992123513,0.0984629628296545,0.03658908285240798,0.04171281188067132,0.953018590541897,0.18928169448838789
30,30,-0.9615697889208956,0.14909448220333554,0.04203850770405492,0.04676475654191281,0.3353456661038117,0.11630196216268188
31,31,-0.9434839288832669,0.1507387189852798,0.05406721493169822,0.060761125558842506,0.37853201585457374,0.21281715611787516
32,32,-1.0013102875328281,0.10990156869643752,0.014314078141253708,0.020014628049321775,0.35303493181175455,0.19349395412440334
33,33,-1.0160327998829162,0.09695923329094625,0.022798557467274338,0.02718728679319801,0.9757843791248071,0.6581026901581849
34,34,-0.9877111729905258,0.088158830400215,0.013320721104216848,0.01662643089972883,0.9292156739634849,0.37208829599469445
35,35,-0.9955359145510461,0.08180087384693879,0.018310656580501468,0.026312090521444627,0.801547137818267,0.39856421360687966
