,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.508000675781491,0.1093467583423258,0.05465319623559165,0.058287057231818255,0.17756138302443872,0.7818372252725171
1,1,-0.4254660927186241,0.2012781876953536,0.13158489795325273,0.13972227552637534,0.22038491378730823,0.9498105585525415
2,2,-0.5186350134432269,0.17722727912344047,0.08170845751875455,0.08836547060049639,0.15729597171287638,0.9508672578883369
3,3,-0.41961245864053115,0.32732134365297477,0.23624598522741463,0.25253682210215395,0.26679656956390824,0.8296832596475046
4,4,-0.4317980295868291,0.13543050353567848,0.0879034277423071,0.09226182995374171,0.2628856866010963,0.7376918519919006
5,5,-0.4651692603015981,0.15612303839079317,0.0839977119650333,0.09118121819587811,0.20960861527502223,0.6862096342618739
6,6,-0.5787400085283623,0.2724003645302786,0.144726768688813,0.15603625836320853,0.18832043253487435,0.8837189256523781
7,7,-0.34349058383248177,0.35110527969232785,0.2610038426959159,0.2716826513780146,0.2499703206309552,0.7942569414581209
8,8,-0.4804161742918972,0.21528286352997644,0.06870500740592399,0.07479288834580025,0.22093395797008447,0.8119073750643353
9,9,-0.4207523168987637,0.3344575198775518,0.22926155391163794,0.24340895631897058,0.23746041500335485,0.8391607418307192
10,10,-0.5106048434204884,0.1968417858528015,0.0973752819714135,0.10724933386725731,0.28142421505083165,0.8524589066135191
11,11,-0.48753166777877766,0.1389941026574898,0.08874230725093907,0.09470825872277185,0.25508888583030703,0.8379740066316012
12,12,-0.5358447000549237,0.22784631550246812,0.10387257983004664,0.11324182495027629,0.22045664747432553,0.8291677953318708
13,13,-0.3624525075039317,0.2212656904329995,0.17023684465103514,0.17646819313306208,0.15193570850826846,0.7242102322893466
14,14,-0.4515113302249,0.30255905634981506,0.21660495209506228,0.2339733037323971,0.21737325033532212,0.8433555927265484
15,15,-0.4631821413310183,0.1465953663156992,0.09801706776106034,0.10560095706395387,0.18631789515853306,0.7477041833526413
16,16,-0.5027834143208896,0.1271867678339573,0.03380081297039261,0.03795549780070224,0.2737428122468503,0.7884696798283654
