,l,optDTR_value,norm_sup,norm_1,norm_2,beta0,beta1
0,0,-0.38334816423785717,0.1702448917911353,0.09010089545827223,0.09415374873715206,0.17756138302443872,0.7818372252725171
1,1,-0.3528943505216916,0.17455137462841028,0.09148620730739858,0.09592324619020769,0.14695663071300627,0.6841209345012009
2,2,-0.3833684893882854,0.21738641961936966,0.13599101818856493,0.1415869093760247,0.09865036052567236,0.75127644135471
3,3,-0.1284360995494027,0.2313095342714666,0.16556604321419968,0.17021534204613026,0.26679656956390824,0.8296832596475046
4,4,-0.35031130936936156,0.14585138344003443,0.06761950379495403,0.07185989004943895,0.2628856866010963,0.7376918519919006
5,5,-0.3286170015524328,0.15493223755928517,0.04533945071773794,0.04903669842710729,0.35237309126015853,0.7633320627991199
6,6,-0.2756535010608059,0.1343177514499994,0.060848733391265675,0.06470317406797185,0.22979921149033128,0.8030424753870751
7,7,-0.2822294642517967,0.1708136963076843,0.0675180362060776,0.07295148185969365,0.2499703206309552,0.7942569414581209
8,8,-0.23013482896247275,0.1306414172569819,0.029812217548092476,0.037374993075545225,0.22093395797008447,0.8119073750643353
9,9,-0.26337984498143024,0.10656994783069379,0.05862764449303298,0.06194214528935265,0.28226561378911147,0.6973144670480432
10,10,-0.36662290144687987,0.26216450704074146,0.10119181062452899,0.10554790387035783,0.23109443252324507,0.6673918647986209
11,11,-0.2786507697113611,0.13945582149763644,0.021655319669369157,0.0287144485626384,0.25508888583030703,0.8379740066316012
12,12,-0.2521783115033828,0.15109747705169482,0.025510225229789674,0.030803502768372817,0.3088963179823548,0.7553918016847689
13,13,-0.32136907860007,0.21801492971117825,0.064244177571491,0.07068247081399887,0.15193570850826846,0.7242102322893466
14,14,-0.3252000784657107,0.13186978719822864,0.04722346844762833,0.05039589525379349,0.21737325033532212,0.8433555927265484
15,15,-0.2987548597056402,0.1192156517938581,0.015911530775380902,0.02186465465811895,0.18631789515853306,0.7477041833526413
16,16,-0.3205178364612415,0.17529912637233763,0.07556466478528294,0.0826635748954335,0.2737428122468503,0.7884696798283654
17,17,-0.2894675233611536,0.11874617172289502,0.043504801074413665,0.047611890812361474,0.3408608022770622,0.6980159948624848
18,18,-0.4212174949200345,0.2124108115304142,0.14040450900758525,0.14338822258919928,0.250742010988032,0.7702287046326954
19,19,-0.3067718901542354,0.13037305919141623,0.02063122247492454,0.024808000140846456,0.25592969902430723,0.7333547004234657
20,20,-0.23967539663581822,0.13371020351061425,0.08380587313348084,0.08552290772683024,0.17601515813981786,0.7413310652583464
21,21,-0.26617509927451793,0.10212042531404743,0.013699641731546624,0.018143178937685533,0.1412268569206603,0.754075401220105
22,22,-0.23170004859433646,0.13782202090180373,0.05255704073952372,0.057961306541019206,0.30296760835330544,0.7945179651353975
23,23,-0.34566860549047734,0.2663762236509045,0.1361203236414213,0.14320549998386523,0.22069341605753418,0.8262459067584306
24,24,-0.3366781836793487,0.09186457537248947,0.011763603905659097,0.01766562406044035,0.28109294048624317,0.7971103796072238
25,25,-0.3507355902353678,0.15730242955139465,0.016443100490973455,0.027403993135431497,0.3146232433158252,0.7377252749255597
26,26,-0.3063685111135478,0.1155393711297832,0.023878256529824057,0.027927578041921617,0.25503754383708305,0.7238774466279033
27,27,-0.299460467704745,0.12439801719149515,0.05653496492928752,0.0611379494466198,0.23289563729534374,0.7168647713507227
28,28,-0.3024642883120779,0.1930563130209539,0.02083729615284722,0.027745610266201908,0.21367342003337925,0.7114456498040643
29,29,-0.2363465308465849,0.12200017416842826,0.06849362087777736,0.07213661477222101,0.22990780065472655,0.8707921820663073
30,30,-0.2894959426798044,0.19518501101197752,0.0649808348534502,0.07205099067476006,0.2929613082496744,0.7830367316425194
31,31,-0.20748202701026563,0.12323292879119863,0.07384649364391624,0.07608966262221584,0.28473234528083685,0.6613472592918437
32,32,-0.2759575692520327,0.11103369214269806,0.04650186575352348,0.04898606211263929,0.213611610828434,0.6955174419214304
33,33,-0.23019229959817686,0.09606256867331106,0.04374768565267733,0.04646949198075004,0.10267909489634322,0.8467494655244618
34,34,-0.3306565089995865,0.21550028686378275,0.04674168810274115,0.0553228919501893,0.23232163027180935,0.7100747085286735
35,35,-0.2906237947218636,0.20989081497890608,0.04300067967682848,0.048270482677259904,0.27552296530037185,0.6678206809532524
